Reg Address,Data
10516,4101
10517,4298
10518,4469
10519,4655
10520,4823
10521,4995
10522,5128
10523,5261
10524,5363
10525,5490
10526,5578
10527,5649
10528,5727
10529,5774
10530,5819
10531,5830
10532,5836
10533,5846
10534,5814
10535,5774
10536,5738
10537,5681
10538,5604
10539,5517
10540,5409
10541,5286
10542,5175
10543,5027
10544,4881
10545,4728
10546,4534
10547,4349
10548,4139
10549,3914
10550,3724
10551,3482
10552,3239
10553,3027
10554,2759
10555,2507
10556,2229
10557,1974
10558,1702
10559,1421
10560,1138
10561,862
10562,573
10563,291
10564,-5
10565,-109
10566,-363
10567,-876
10568,-1155
10569,-1435
10570,-1725
10571,-1998
10572,-2270
10573,-2540
10574,-2798
10575,-3054
10576,-3272
10577,-3527
10578,-3758
10579,-3977
10580,-4180
10581,-4396
10582,-4566
10583,-4760
10584,-4905
10585,-5066
10586,-5219
10587,-5339
10588,-5447
10589,-5570
10590,-5667
10591,-5732
10592,-5794
10593,-5848
10594,-5882
10595,-5913
10596,-5923
10597,-5914
10598,-5911
10599,-5862
10600,-5800
10601,-5747
10602,-5673
10603,-5580
10604,-5468
10605,-5366
10606,-5224
10607,-5093
10608,-4942
10609,-4774
10610,-4582
10611,-4376
10612,-4210
10613,-3980
10614,-3762
10615,-3529
10616,-3291
10617,-3065
10618,-2804
10619,-2548
10620,-2277
10621,-2016
10622,-1744
10623,-1458
10624,-1192
10625,-889
10626,-604
10627,-338
10628,-98
10629,72
10630,551
10631,820
10632,1111
10633,1404
10634,1695
10635,1950
10636,2225
10637,2488
10638,2754
10639,3004
10640,3248
10641,3480
10642,3718
10643,3931
10644,4126
10645,4327
10646,4512
10647,4708
10648,4863
10649,5025
10650,5164
10651,5293
10652,5390
10653,5504
10654,5599
10655,5675
10656,5735
10657,5772
10658,5818
10659,5838
10660,5853
10661,5834
10662,5812
10663,5775
10664,5717
10665,5659
10666,5579
10667,5495
10668,5388
10669,5275
10670,5137
10671,5000
10672,4847
10673,4676
10674,4497
10675,4313
10676,4089
10677,3891
10678,3677
10679,3420
10680,3196
10681,2941
10682,2709
10683,2431
10684,2178
10685,1909
10686,1643
10687,1353
10688,1071
10689,771
10690,493
10691,203
10692,-52
10693,-152
10694,-580
10695,-954
10696,-1220
10697,-1510
10698,-1784
10699,-2070
10700,-2345
10701,-2595
10702,-2839
10703,-3110
10704,-3349
10705,-3604
10706,-3810
10707,-4021
10708,-4224
10709,-4421
