Reg Address,Data
12820,-8
12821,-7
12822,8
12823,-11
12824,-17
12825,6
12826,5
12827,8
12828,-9
12829,1
12830,14
12831,-5
12832,-17
12833,-7
12834,23
12835,6
12836,-6
12837,11
12838,13
12839,-12
12840,-13
12841,14
12842,1
12843,-1
12844,-17
12845,12
12846,8
12847,-11
12848,-16
12849,0
12850,13
12851,-16
12852,3
12853,20
12854,2
12855,-9
12856,2
12857,17
12858,0
12859,0
12860,-8
12861,14
12862,7
12863,-13
12864,1
12865,12
12866,7
12867,0
12868,4
12869,15
12870,-13
12871,-22
12872,-5
12873,18
12874,9
12875,-3
12876,12
12877,1
12878,-4
12879,-25
12880,-13
12881,2
12882,0
12883,8
12884,4
12885,10
12886,8
12887,-24
12888,-9
12889,22
12890,0
12891,-16
12892,3
12893,12
12894,-6
12895,-13
12896,-3
12897,10
12898,12
12899,-10
12900,9
12901,11
12902,-20
12903,-8
12904,14
12905,12
12906,-8
12907,-1
12908,3
12909,5
12910,-2
12911,-14
12912,13
12913,18
12914,-4
12915,-25
12916,23
12917,-3
12918,-26
12919,-7
12920,8
12921,6
12922,-14
12923,16
12924,13
12925,3
12926,-16
12927,-24
12928,-1
12929,2
12930,-9
12931,-11
12932,3
12933,-1
12934,-19
12935,-16
12936,8
12937,8
12938,-10
12939,1
12940,15
12941,8
12942,-24
12943,-4
12944,16
12945,-1
12946,3
12947,7
12948,24
12949,6
12950,-14
12951,16
12952,20
12953,4
12954,-4
12955,5
12956,17
12957,-4
12958,-20
12959,1
12960,13
12961,0
12962,-6
12963,10
12964,5
12965,-27
12966,-1
12967,2
12968,6
12969,-6
12970,12
12971,21
12972,18
12973,-16
12974,-3
12975,19
12976,-16
12977,0
12978,5
12979,8
12980,-8
12981,-11
12982,-2
12983,13
12984,0
12985,-10
12986,11
12987,14
12988,-3
12989,-8
12990,9
12991,3
12992,3
12993,-14
12994,5
12995,11
12996,-18
12997,-4
12998,21
12999,10
13000,-8
13001,7
13002,14
13003,-1
13004,-20
13005,4
13006,17
13007,-4
13008,0
13009,3
13010,10
13011,-16
13012,-24
13013,10
13014,7
13015,-8
13016,-5
13017,7
13018,4
13019,-6
13020,-5
13021,21
13022,-4
13023,0
13024,10
13025,-1
13026,-5
13027,-17
13028,0
13029,12
13030,9
13031,-7
13032,-16
13033,13
13034,5
13035,-25
13036,0
13037,14
13038,10
13039,-17
13040,13
13041,11
13042,-14
13043,-7
13044,3
13045,4
13046,-7
13047,-4
13048,5
13049,8
13050,-7
13051,-17
13052,8
13053,16
13054,12
13055,7
13056,13
13057,9
13058,-21
13059,-2
13060,13
13061,4
13062,-1
13063,-2
13064,11
13065,-1
13066,-11
13067,1
13068,10
13069,7
13070,-8
13071,8
13072,-8
13073,0
13074,-24
13075,8
13076,8
13077,-10
13078,6
13079,0
13080,-7
13081,-23
13082,4
13083,13
13084,0
13085,-13
13086,3
13087,2
13088,-17
13089,-16
13090,5
13091,6
13092,-15
13093,4
13094,11
13095,-1
13096,-7
13097,-6
13098,9
13099,5
13100,1
13101,-10
13102,18
13103,3
13104,-19
13105,2
13106,8
13107,-13
13108,-3
13109,-1
13110,5
13111,-8
13112,-10
13113,18
13114,-8
13115,4
13116,3
13117,9
13118,-26
13119,-4
13120,17
13121,11
13122,-3
13123,-4
13124,24
13125,-8
13126,-21
13127,-3
13128,4
13129,-9
13130,-11
13131,8
13132,-1
13133,-11
13134,-2
13135,4
13136,-2
13137,-5
13138,3
13139,17
13140,-12
13141,-10
13142,-15
13143,4
13144,-14
13145,-5
13146,0
13147,13
13148,0
13149,-25
13150,-11
13151,19
13152,-7
13153,-6
13154,9
13155,7
13156,-3
13157,-9
13158,14
13159,24
13160,3
13161,4
13162,23
13163,-1
13164,-5
13165,0
13166,8
13167,21
13168,2
13169,-9
13170,6
13171,0
13172,-9
13173,-11
13174,17
13175,0
13176,1
13177,0
13178,4
13179,0
13180,-9
13181,3
13182,22
13183,-8
13184,-6
13185,2
13186,-5
13187,-13
13188,-17
13189,7
13190,5
13191,-2
13192,-11
13193,20
13194,1
13195,-5
13196,-3
13197,1
13198,1
13199,-17
13200,7
13201,9
13202,-1
13203,-15
13204,2
13205,10
13206,1
13207,0
13208,26
13209,14
13210,-24
13211,-14
13212,-4
13213,12
13214,0
13215,0
13216,22
13217,0
13218,-8
13219,16
13220,3
13221,2
13222,-6
13223,-1
13224,12
13225,5
13226,-3
13227,5
13228,23
13229,-4
13230,1
13231,12
13232,4
13233,-19
13234,-13
13235,8
13236,5
13237,-14
13238,1
13239,18
13240,4
13241,-21
13242,4
13243,25
13244,-6
13245,-4
13246,9
13247,19
13248,12
13249,-5
13250,-24
13251,19
13252,19
13253,0
13254,-5
13255,18
13256,2
13257,-26
13258,-15
13259,23
13260,13
13261,-10
13262,-6
13263,15
13264,0
13265,-3
13266,-1
13267,-1
13268,2
13269,-22
13270,3
13271,18
13272,-10
13273,-13
13274,9
13275,6
13276,-14
13277,-3
13278,5
13279,12
13280,0
13281,-12
13282,10
13283,20
13284,-4
13285,-17
13286,19
13287,5
13288,-11
13289,-5
13290,4
13291,0
13292,-1
13293,2
13294,15
13295,-6
13296,-20
13297,11
13298,1
13299,-3
13300,-6
13301,8
13302,10
13303,-20
13304,-16
13305,9
13306,0
13307,-10
13308,2
13309,5
13310,6
13311,-18
13312,-10
13313,7
13314,0
13315,8
13316,13
13317,9
13318,-4
13319,-9
13320,-13
13321,6
13322,3
13323,14
13324,-3
13325,13
13326,5
13327,-13
13328,-18
13329,13
13330,8
13331,-28
13332,2
13333,16
13334,-7
13335,-11
13336,-6
13337,22
13338,-11
13339,1
13340,0
13341,2
13342,-10
13343,-11
13344,18
13345,1
13346,-12
13347,-17
13348,7
13349,1
13350,-17
13351,-7
13352,12
13353,2
13354,8
13355,0
13356,15
13357,7
13358,-10
13359,-10
13360,14
13361,4
13362,-6
13363,-9
13364,7
13365,5
13366,-25
13367,-9
13368,1
13369,0
13370,-10
13371,6
13372,11
13373,6
13374,-27
13375,-10
13376,11
13377,-14
13378,4
13379,11
13380,-8
13381,-9
13382,8
13383,9
13384,13
13385,-6
13386,-2
13387,7
13388,8
13389,-13
13390,-7
13391,0
13392,3
13393,-13
13394,-5
13395,12
13396,2
13397,-14
13398,-4
13399,-2
13400,-2
13401,-10
13402,7
13403,17
13404,-20
13405,-4
13406,20
13407,3
13408,-16
13409,5
13410,14
13411,4
13412,-11
13413,-5
13414,9
13415,4
13416,-19
13417,-8
13418,8
13419,2
13420,-20
13421,-1
13422,5
13423,0
13424,5
13425,8
13426,15
13427,-9
13428,-20
13429,9
13430,4
13431,13
13432,-5
13433,-3
13434,4
13435,-4
13436,-21
13437,-1
13438,15
13439,-1
13440,-5
13441,0
13442,0
13443,-15
13444,-5
13445,9
13446,0
13447,-3
13448,-6
13449,6
13450,0
13451,-8
13452,-9
13453,2
13454,2
13455,-10
13456,7
13457,15
13458,-3
13459,-16
13460,11
13461,12
13462,-2
13463,-17
13464,4
13465,10
13466,-13
13467,-14
13468,8
13469,14
13470,-6
13471,1
13472,0
13473,-25
13474,4
13475,11
13476,5
13477,-15
13478,9
13479,-2
13480,5
13481,-27
13482,-5
13483,12
13484,5
13485,-11
13486,2
13487,11
13488,-9
13489,-10
13490,9
13491,5
13492,-4
13493,-21
13494,11
13495,9
13496,-15
13497,-17
13498,8
13499,-5
13500,-10
13501,2
13502,14
13503,-21
13504,-5
13505,7
13506,14
13507,0
13508,-9
13509,12
13510,3
13511,-2
13512,-14
13513,9
13514,16
13515,-6
13516,-7
13517,5
13518,12
13519,-8
13520,-16
13521,1
13522,16
13523,-15
13524,-4
13525,26
13526,6
13527,-30
13528,-9
13529,18
13530,0
13531,-14
13532,-5
13533,6
13534,3
13535,-3
13536,-2
13537,20
13538,2
13539,0
13540,0
13541,5
13542,-15
13543,-13
13544,4
13545,21
13546,-3
13547,-17
13548,6
13549,4
13550,-13
13551,3
13552,0
13553,14
13554,-9
13555,-6
13556,6
13557,3
13558,-22
13559,-14
13560,5
13561,-10
13562,-4
13563,3
13564,5
13565,-11
13566,-23
13567,-13
13568,8
13569,-1
13570,-3
13571,5
13572,2
13573,-10
13574,8
13575,25
13576,10
13577,-8
13578,-2
13579,-2
13580,1
13581,-23
13582,-10
13583,15
13584,8
13585,-13
13586,-3
13587,7
13588,-4
13589,-11
13590,-5
13591,10
13592,13
13593,0
13594,-6
13595,18
13596,2
13597,-14
13598,-11
13599,18
13600,19
13601,4
13602,4
13603,10
13604,17
13605,-4
13606,0
13607,2
13608,20
13609,-10
13610,-4
13611,10
13612,14
13613,-15
13614,-10
13615,8
13616,21
13617,-18
13618,-8
13619,7
13620,11
13621,-6
13622,-11
13623,6
13624,17
13625,4
13626,-11
13627,4
13628,19
13629,-7
13630,-14
13631,13
13632,2
13633,-5
13634,-11
13635,2
13636,11
13637,-19
13638,-14
13639,17
13640,2
13641,-8
13642,8
13643,8
13644,1
13645,-27
13646,-10
13647,15
13648,10
13649,-15
13650,-12
13651,12
13652,-13
13653,-18
13654,-1
13655,6
13656,-9
13657,-11
13658,-5
13659,16
13660,9
13661,-7
13662,-6
13663,18
13664,-3
13665,-20
13666,1
13667,14
13668,-1
13669,-19
13670,6
13671,11
13672,-5
13673,-12
13674,16
13675,12
13676,-11
13677,-16
13678,-5
13679,10
13680,3
13681,-11
13682,0
13683,10
13684,-3
13685,-11
13686,-7
13687,11
13688,-17
13689,-6
13690,11
13691,1
13692,-17
13693,-5
13694,6
13695,4
13696,0
13697,-5
13698,8
13699,-7
13700,-21
13701,-7
13702,17
13703,0
13704,-1
13705,5
13706,14
13707,-7
13708,-21
13709,-5
13710,14
13711,9
13712,-4
13713,7
13714,5
13715,-4
13716,-18
13717,-10
13718,17
13719,20
13720,-18
13721,22
13722,8
13723,-6
13724,-19
13725,-7
13726,5
13727,11
13728,-10
13729,-5
13730,23
13731,7
13732,-7
13733,-7
13734,25
13735,1
13736,-18
13737,1
13738,8
13739,-5
13740,-4
13741,9
13742,13
13743,0
13744,-1
13745,14
13746,3
13747,-8
13748,-15
13749,8
13750,26
13751,-7
13752,-12
13753,10
13754,10
13755,-11
13756,-24
13757,2
13758,12
13759,2
13760,-5
13761,4
13762,18
13763,-21
13764,-16
13765,0
13766,5
13767,0
13768,-5
13769,12
13770,8
13771,-15
13772,-7
13773,10
13774,18
13775,-10
13776,-25
13777,11
13778,3
13779,-26
13780,-17
13781,-8
13782,12
13783,0
13784,-15
13785,2
13786,11
13787,-17
13788,-19
13789,8
13790,15
13791,6
13792,-4
13793,20
13794,15
13795,-23
13796,5
13797,8
13798,14
13799,-12
13800,0
13801,0
13802,8
13803,-9
13804,-2
13805,7
13806,12
13807,-17
13808,5
13809,5
13810,14
13811,-11
13812,-3
13813,13
13814,-6
13815,-2
13816,-6
13817,14
13818,3
13819,-15
13820,-4
13821,4
13822,0
13823,-10
13824,5
13825,9
13826,-9
13827,-4
13828,27
13829,13
13830,-6
13831,1
13832,16
13833,8
13834,-8
13835,-1
13836,13
13837,2
13838,-9
13839,4
13840,10
13841,-3
13842,-12
13843,2
13844,11
13845,-4
13846,-8
13847,-4
13848,-2
13849,-20
13850,2
13851,11
13852,1
13853,-12
13854,-5
13855,12
13856,0
13857,-15
13858,-10
13859,10
13860,-15
13861,3
13862,14
13863,5
13864,0
13865,-17
13866,0
13867,22
13868,0
13869,0
13870,9
13871,22
13872,-11
13873,-5
13874,-4
13875,10
13876,8
13877,-6
13878,12
13879,-5
13880,-14
13881,-9
13882,12
13883,12
13884,-6
13885,-4
13886,11
13887,2
13888,-19
13889,-2
13890,13
13891,7
13892,-8
13893,-7
13894,6
13895,-14
13896,-16
13897,5
13898,9
13899,-12
13900,9
13901,18
13902,0
13903,-12
13904,-15
13905,11
13906,10
13907,-4
13908,-4
13909,18
13910,8
13911,-18
13912,-4
13913,14
13914,16
13915,-32
13916,-4
13917,14
13918,-7
13919,-13
13920,0
13921,7
13922,8
13923,-5
13924,9
13925,13
13926,-19
13927,-13
13928,20
13929,7
13930,-16
13931,-10
13932,13
13933,10
13934,-29
13935,-14
13936,9
13937,-3
13938,-2
13939,1
13940,11
13941,-6
13942,-28
13943,-4
13944,13
13945,10
13946,-8
13947,8
13948,11
13949,-12
13950,-23
13951,12
13952,5
13953,-8
13954,3
13955,3
13956,7
13957,-14
13958,-26
13959,8
13960,8
13961,-3
13962,1
13963,17
13964,10
13965,-11
13966,-11
13967,19
13968,-1
13969,8
13970,-6
13971,14
13972,7
13973,-2
13974,-10
13975,10
13976,1
13977,-4
13978,8
13979,4
13980,-17
13981,-21
13982,2
13983,14
13984,-3
13985,-19
13986,2
13987,17
13988,-3
13989,-24
13990,4
13991,6
13992,-5
13993,-3
13994,0
13995,13
13996,-7
13997,-10
13998,0
13999,15
14000,-2
14001,-11
14002,10
14003,16
14004,-6
14005,-12
14006,11
14007,-9
14008,-15
14009,-8
14010,18
14011,-4
14012,-8
14013,-9
14014,13
14015,-13
14016,-20
14017,9
14018,-4
14019,4
14020,-22
14021,-5
14022,23
14023,-11
14024,9
14025,0
14026,19
14027,-6
14028,-19
14029,9
14030,3
14031,0
14032,0
14033,7
14034,0
14035,-13
14036,-21
14037,6
14038,4
14039,-8
14040,11
14041,21
14042,-2
14043,-8
14044,-3
14045,0
14046,0
14047,-4
14048,9
14049,6
14050,-9
14051,-7
14052,3
14053,10
14054,-13
14055,-3
14056,23
14057,-2
14058,-14
14059,2
14060,11
14061,4
14062,-11
14063,0
14064,12
14065,-22
14066,-21
14067,-4
14068,9
14069,1
14070,-5
14071,3
14072,6
14073,-18
14074,0
14075,2
14076,18
14077,-13
14078,-4
14079,17
14080,9
14081,-20
14082,-14
14083,4
14084,17
14085,5
14086,1
14087,24
14088,-4
14089,-15
14090,-3
14091,11
14092,0
14093,-8
14094,-6
14095,13
14096,0
14097,-12
14098,0
14099,12
14100,-1
14101,-11
14102,9
14103,24
14104,-11
14105,0
14106,6
14107,1
14108,-10
14109,-4
14110,19
14111,10
14112,-19
14113,-4
14114,8
14115,12
14116,-1
14117,0
14118,17
14119,7
14120,-19
14121,-4
14122,6
14123,10
14124,-18
14125,3
14126,11
14127,-15
14128,-5
14129,-3
14130,11
14131,1
14132,-1
14133,7
14134,-1
14135,-15
14136,3
14137,9
14138,-5
14139,-8
14140,12
14141,8
14142,-21
14143,-2
14144,12
14145,11
14146,-8
14147,-7
14148,13
14149,4
14150,-4
14151,-7
14152,0
14153,0
14154,-3
14155,-12
14156,15
14157,-4
14158,-4
14159,-8
14160,19
14161,0
14162,-15
14163,9
14164,25
14165,1
14166,-22
14167,1
14168,6
14169,-5
14170,-3
14171,5
14172,6
14173,-7
14174,-22
14175,1
14176,3
14177,0
14178,-4
14179,9
14180,21
14181,-4
14182,-17
14183,13
14184,16
14185,-4
14186,-4
14187,13
14188,5
14189,-7
14190,-8
14191,8
14192,6
14193,-20
14194,-3
14195,6
14196,-1
14197,-14
14198,-3
14199,1
14200,9
14201,-11
14202,0
14203,14
14204,-7
14205,-17
14206,-5
14207,-1
14208,-5
14209,9
14210,21
14211,-10
14212,-9
14213,9
14214,0
14215,-8
14216,-7
14217,0
14218,11
14219,-10
14220,-19
14221,0
14222,20
14223,-5
14224,-8
14225,9
14226,12
14227,-24
14228,-10
14229,20
14230,10
14231,-11
14232,4
14233,15
14234,-11
14235,-37
14236,11
14237,4
14238,-4
14239,-3
14240,4
14241,6
14242,-20
14243,-16
14244,13
14245,0
14246,-15
14247,9
14248,5
14249,-11
14250,-5
14251,5
14252,13
14253,-3
14254,2
14255,16
14256,4
14257,-17
14258,-16
14259,14
14260,4
14261,-9
14262,-5
14263,5
14264,0
14265,-19
14266,15
14267,14
14268,5
14269,0
14270,-19
14271,18
14272,-2
14273,4
14274,9
14275,11
14276,-11
14277,-2
14278,3
14279,20
14280,-11
14281,-20
14282,0
14283,14
14284,2
14285,-16
14286,2
14287,7
14288,-17
14289,-24
14290,13
14291,7
14292,-10
14293,-4
14294,-2
14295,5
14296,-19
14297,-14
14298,6
14299,12
14300,-10
14301,7
14302,12
14303,-4
14304,-15
14305,-18
14306,2
14307,14
14308,-11
14309,7
14310,15
14311,11
14312,-15
14313,-6
14314,4
14315,7
14316,5
14317,6
14318,10
14319,-11
14320,-12
14321,7
14322,1
14323,-2
14324,-4
14325,14
14326,8
14327,-18
14328,-1
14329,6
14330,17
14331,-2
14332,7
14333,13
14334,-6
14335,-2
14336,-15
14337,3
14338,0
14339,-16
14340,27
14341,19
14342,-1
14343,-15
14344,7
14345,20
14346,-1
14347,-10
14348,-3
14349,4
14350,-18
14351,-19
14352,14
14353,16
14354,-8
14355,-1
14356,1
14357,8
14358,-5
14359,0
14360,15
14361,15
14362,-9
14363,5
14364,19
14365,0
14366,-26
14367,11
14368,15
14369,-2
14370,1
14371,3
14372,2
14373,-19
14374,0
14375,17
14376,-12
14377,-13
14378,-6
14379,11
14380,-5
14381,-24
14382,14
14383,14
14384,-6
14385,-11
14386,5
14387,-4
14388,-13
14389,-9
14390,15
14391,10
14392,-19
14393,0
14394,20
14395,10
14396,-18
14397,-7
14398,17
14399,1
14400,-20
14401,0
14402,8
14403,8
14404,-13
14405,8
14406,9
14407,-5
14408,3
14409,17
14410,-14
14411,-21
14412,0
14413,16
14414,2
14415,-5
14416,-1
14417,17
14418,-8
14419,-3
14420,3
14421,17
14422,14
14423,-14
14424,21
14425,6
14426,-4
14427,-24
14428,3
14429,9
14430,-7
14431,5
14432,6
14433,-2
14434,-4
14435,-5
14436,3
14437,-11
14438,-3
14439,-15
14440,12
14441,-10
14442,-16
14443,-1
14444,4
14445,0
14446,-3
14447,3
14448,14
14449,-15
14450,-11
14451,11
14452,1
14453,-23
14454,-11
14455,14
14456,4
14457,-33
14458,0
14459,20
14460,-12
14461,-11
14462,9
14463,4
14464,-14
14465,-19
14466,0
14467,10
14468,-13
14469,-6
14470,-2
14471,9
14472,-26
14473,-6
14474,21
14475,-1
14476,-10
14477,0
14478,14
14479,-9
14480,-20
14481,-5
14482,13
14483,15
14484,-7
14485,4
14486,10
14487,-15
14488,-25
14489,-3
14490,13
14491,-5
14492,-8
14493,3
14494,3
14495,-9
14496,-4
14497,3
14498,11
14499,-12
14500,6
14501,13
14502,-1
14503,-9
14504,-7
14505,0
14506,3
14507,-7
14508,9
14509,9
14510,-9
14511,-9
14512,14
14513,12
14514,3
14515,-3
14516,10
14517,14
14518,-8
14519,0
14520,5
14521,6
14522,-4
14523,-3
14524,24
14525,-5
14526,-12
14527,9
14528,8
14529,-4
14530,-10
14531,2
14532,10
14533,0
14534,-18
14535,15
14536,12
14537,-11
14538,-11
14539,4
14540,11
14541,-8
14542,-11
14543,-5
14544,12
14545,-4
14546,-8
14547,-1
14548,10
14549,-25
14550,-11
14551,9
14552,4
14553,-13
14554,6
14555,11
14556,2
14557,-27
14558,-12
14559,11
14560,19
14561,4
14562,-6
14563,2
14564,-20
14565,-25
14566,0
14567,23
14568,-3
14569,0
14570,3
14571,1
14572,-15
14573,-5
14574,0
14575,8
14576,-3
14577,-16
14578,18
14579,5
14580,-18
14581,-3
14582,4
14583,10
14584,-20
14585,8
14586,5
14587,-7
14588,-20
14589,-11
14590,7
14591,-8
14592,-4
14593,-6
14594,-4
14595,-3
14596,-6
14597,11
14598,13
14599,-8
14600,3
14601,15
14602,12
14603,-5
14604,-27
14605,7
14606,13
14607,-6
14608,-3
14609,10
14610,2
14611,-7
14612,-5
14613,3
14614,8
14615,-14
14616,-6
14617,9
14618,1
14619,-19
14620,-15
14621,14
14622,6
14623,-22
14624,7
14625,2
14626,-7
14627,-21
14628,-2
14629,17
14630,-2
14631,-13
14632,10
14633,11
14634,-4
14635,-10
14636,4
14637,1
14638,9
14639,-3
14640,8
14641,14
14642,-14
14643,-7
14644,0
14645,0
14646,-17
14647,-3
14648,19
14649,0
14650,-9
14651,-2
14652,6
14653,-10
14654,-3
14655,13
14656,10
14657,-15
14658,-5
14659,15
14660,11
14661,-7
14662,-8
14663,17
14664,8
14665,-7
14666,-10
14667,7
14668,4
14669,-11
14670,0
14671,16
14672,-11
14673,-11
14674,5
14675,-3
14676,-7
14677,-6
14678,3
14679,-3
14680,-20
14681,-23
14682,9
14683,25
14684,0
14685,-10
14686,14
14687,5
14688,-10
14689,-11
14690,-1
14691,6
14692,-9
14693,3
14694,8
14695,-1
14696,-10
14697,-9
14698,18
14699,19
14700,-5
14701,0
14702,7
14703,3
14704,-15
14705,-16
14706,11
14707,-3
14708,1
14709,-1
14710,22
14711,9
14712,-7
14713,5
14714,5
14715,6
14716,-9
14717,0
14718,16
14719,-16
14720,-7
14721,12
14722,16
14723,0
14724,8
14725,2
14726,2
14727,-1
14728,5
14729,9
14730,2
14731,-8
14732,0
14733,10
14734,-2
14735,-7
14736,13
14737,7
14738,3
14739,-3
14740,3
14741,8
14742,-4
14743,-26
14744,5
14745,10
14746,-7
14747,-3
14748,12
14749,-4
14750,-14
14751,-19
14752,13
14753,6
14754,4
14755,3
14756,24
14757,-16
14758,-16
14759,2
14760,7
14761,4
14762,-13
14763,-2
14764,3
14765,-3
14766,-3
14767,3
14768,5
14769,-15
14770,-7
14771,-1
14772,-5
14773,-18
14774,5
14775,3
14776,5
14777,-9
14778,-10
14779,10
14780,8
14781,-11
14782,-5
14783,19
14784,1
14785,-13
14786,3
14787,23
14788,-5
14789,-23
14790,4
14791,12
14792,-5
14793,-14
14794,8
14795,15
14796,-15
14797,-8
14798,20
14799,9
14800,-2
14801,-4
14802,2
14803,10
14804,-5
14805,-6
14806,14
14807,2
14808,-6
14809,2
14810,11
14811,1
14812,-10
14813,-4
14814,11
14815,-4
14816,6
14817,3
14818,18
14819,-4
14820,-10
14821,-6
14822,1
14823,12
14824,-5
14825,4
14826,2
14827,-12
14828,-19
14829,6
14830,14
14831,1
14832,-15
14833,8
14834,5
14835,-15
14836,-16
14837,12
14838,4
14839,-12
14840,-16
14841,15
14842,0
14843,-20
14844,-2
14845,21
14846,0
14847,5
14848,-4
14849,13
14850,6
14851,-29
14852,1
14853,11
14854,11
14855,-11
14856,-7
14857,2
14858,4
14859,-16
14860,1
14861,7
14862,6
14863,-6
14864,7
14865,11
14866,11
14867,-15
14868,5
14869,13
14870,4
14871,-10
14872,7
14873,5
14874,-9
14875,-17
14876,27
14877,-1
14878,-7
14879,0
14880,10
14881,7
14882,-17
14883,-6
14884,10
14885,3
14886,8
14887,6
14888,20
14889,5
14890,-18
14891,-13
14892,15
14893,-5
14894,-10
14895,0
14896,7
14897,-10
14898,-27
14899,13
14900,12
14901,-4
14902,-11
14903,11
14904,16
14905,-7
14906,-18
14907,14
14908,9
14909,-13
14910,3
14911,11
14912,6
14913,-4
14914,-7
14915,8
14916,12
14917,-5
14918,2
14919,9
14920,11
14921,-13
14922,7
14923,9
14924,-11
14925,-13
14926,-1
14927,11
14928,-5
14929,-7
14930,-21
14931,10
14932,-11
14933,-3
14934,-8
14935,6
14936,0
14937,-9
14938,-6
14939,15
14940,-5
14941,-17
14942,-3
14943,2
14944,-16
14945,-16
14946,8
14947,16
14948,-5
14949,5
14950,14
14951,-4
14952,-18
14953,-6
14954,14
14955,14
14956,-22
14957,-8
14958,3
14959,7
14960,-28
14961,-10
14962,17
14963,6
14964,-15
14965,21
14966,6
14967,-3
14968,-12
14969,-7
14970,9
14971,11
14972,-14
14973,0
14974,28
14975,3
14976,-7
14977,0
14978,15
14979,1
14980,-11
14981,4
14982,17
14983,-21
14984,-25
14985,8
14986,0
14987,3
14988,-16
14989,2
14990,5
14991,-18
14992,-13
14993,4
14994,9
14995,-6
14996,-8
14997,7
14998,-6
14999,-10
15000,-4
15001,17
15002,11
15003,-15
15004,0
15005,5
15006,-14
15007,-6
15008,-12
15009,1
15010,-1
15011,-17
15012,6
15013,12
15014,-5
15015,-18
15016,16
15017,9
15018,12
15019,-5
15020,8
15021,9
15022,-19
15023,-10
15024,20
15025,-2
15026,11
15027,-8
15028,16
15029,-2
15030,-21
15031,-3
15032,6
15033,-9
15034,-17
15035,15
15036,9
15037,-7
15038,-13
15039,5
15040,6
15041,-10
15042,-9
15043,2
15044,8
15045,-1
15046,-9
15047,5
15048,9
15049,-7
15050,7
15051,9
15052,17
15053,-19
15054,-7
15055,1
15056,22
15057,2
15058,-1
15059,2
15060,11
15061,-18
15062,-17
15063,8
15064,-4
15065,-19
15066,7
15067,14
15068,-5
15069,-21
15070,16
15071,12
15072,-6
15073,-5
15074,6
15075,-13
15076,-25
15077,1
15078,3
15079,12
15080,-17
15081,-10
15082,14
15083,5
15084,-1
15085,-12
15086,17
15087,1
15088,-9
15089,2
15090,11
15091,-12
15092,-13
15093,-4
15094,7
15095,-3
15096,7
15097,7
15098,-5
15099,-14
15100,-14
15101,9
15102,1
15103,0
15104,4
15105,11
15106,0
15107,-18
15108,1
15109,13
15110,0
15111,0
15112,1
15113,8
15114,1
15115,-12
15116,1
15117,5
15118,15
15119,-10
15120,13
15121,8
15122,-16
15123,-11
