Reg Address,Data
15124,38
15125,12
15126,14
15127,9
15128,-4
15129,10
15130,26
15131,40
15132,46
15133,34
15134,13
15135,6
15136,5
15137,22
15138,35
15139,39
15140,46
15141,27
15142,-1
15143,9
15144,5
15145,21
15146,35
15147,45
15148,31
15149,35
15150,43
15151,30
15152,25
15153,3
15154,16
15155,17
15156,16
15157,22
15158,21
15159,30
15160,43
15161,35
15162,18
15163,10
15164,-5
15165,7
15166,-5
15167,2
15168,9
15169,26
15170,27
15171,38
15172,35
15173,18
15174,8
15175,7
15176,16
15177,20
15178,29
15179,32
15180,57
15181,23
15182,13
15183,3
15184,-6
15185,-7
15186,16
15187,35
15188,33
15189,28
15190,21
15191,9
15192,7
15193,6
15194,25
15195,40
15196,40
15197,37
15198,27
15199,10
15200,2
15201,-1
15202,7
15203,19
15204,25
15205,59
15206,24
15207,47
15208,25
15209,18
15210,-1
15211,23
15212,28
15213,36
15214,40
15215,22
15216,4
15217,3
15218,10
15219,38
15220,35
15221,26
15222,19
15223,24
15224,19
15225,32
15226,47
15227,29
15228,14
15229,8
15230,11
15231,9
15232,22
15233,21
15234,49
15235,43
15236,40
15237,31
15238,0
15239,30
15240,33
15241,46
15242,42
15243,16
15244,18
15245,7
15246,1
15247,-6
15248,21
15249,23
15250,45
15251,37
15252,42
15253,37
15254,29
15255,4
15256,8
15257,26
15258,24
15259,25
15260,36
15261,38
15262,12
15263,3
15264,5
15265,3
15266,30
15267,48
15268,41
15269,48
15270,30
15271,10
15272,3
15273,9
15274,16
15275,39
15276,47
15277,40
15278,11
15279,5
15280,0
15281,0
15282,14
15283,20
15284,34
15285,40
15286,37
15287,23
15288,22
15289,5
15290,17
15291,14
15292,15
15293,32
15294,33
15295,44
15296,37
15297,-12
15298,-13
15299,3
15300,19
15301,24
15302,41
15303,30
15304,35
15305,21
15306,9
15307,14
15308,16
15309,29
15310,42
15311,42
15312,24
15313,17
15314,2
15315,-1
15316,4
15317,11
15318,29
15319,42
15320,36
15321,34
15322,26
15323,18
15324,14
15325,21
15326,12
15327,30
15328,38
15329,37
15330,25
15331,4
15332,12
15333,6
