Reg Address,Data
5908,-89
5909,-45
5910,-33
5911,-78
5912,-48
5913,-28
5914,-80
5915,-20
5916,-51
5917,-78
5918,-36
5919,-58
5920,-75
5921,-34
5922,-47
5923,-52
5924,-49
5925,-61
5926,-51
5927,-47
5928,-85
5929,-50
5930,-57
5931,-78
5932,-34
5933,-80
5934,-27
5935,-59
5936,-62
5937,-39
5938,-90
5939,-43
5940,-68
5941,-76
5942,-17
5943,-81
5944,-59
5945,-31
5946,-88
5947,-45
5948,-50
5949,-78
5950,-39
5951,-43
5952,-71
5953,-33
5954,-61
5955,-77
5956,-38
5957,-53
5958,-64
5959,-31
5960,-40
5961,-76
5962,-30
5963,-36
5964,-84
5965,-35
5966,-31
5967,-80
5968,-72
5969,-17
5970,-68
5971,-79
5972,-26
5973,-64
5974,-73
5975,-34
5976,-42
5977,-82
5978,-48
5979,-42
5980,-76
5981,-37
5982,-31
5983,-80
5984,-39
5985,-44
5986,-88
5987,-43
5988,-27
5989,-54
5990,-79
5991,-47
5992,-34
5993,-74
5994,-70
5995,-37
5996,-28
5997,-45
5998,-79
5999,-58
6000,-21
6001,-47
6002,-83
6003,-42
6004,-22
6005,-39
6006,-91
6007,-63
6008,-21
6009,-60
6010,-77
6011,-44
6012,-35
6013,-39
6014,-76
6015,-27
6016,-25
6017,-78
6018,-57
6019,-24
6020,-64
6021,-70
6022,-34
6023,-71
6024,-60
6025,-24
6026,-43
6027,-83
6028,-39
6029,-49
6030,-82
6031,-34
6032,-36
6033,-82
6034,-51
6035,-47
6036,-78
6037,-57
6038,-37
6039,-95
6040,-45
6041,-45
6042,-77
6043,-59
6044,-27
6045,-83
6046,-33
6047,-57
6048,-87
6049,-47
6050,-52
6051,-86
6052,-30
6053,-43
6054,-77
6055,-22
6056,-74
6057,-71
6058,-27
6059,-92
6060,-32
6061,-53
6062,-52
6063,-41
6064,-81
6065,-40
6066,-56
6067,-78
6068,-43
6069,-80
6070,-40
6071,-53
6072,-77
6073,-32
6074,-50
6075,-58
6076,-30
6077,-74
6078,-41
6079,-34
6080,-72
6081,-39
6082,-40
6083,-76
6084,-54
6085,-43
6086,-65
6087,-57
6088,-42
6089,-65
6090,-69
6091,-40
6092,-75
6093,-44
6094,-31
6095,-68
6096,-72
6097,-28
6098,-53
6099,-65
6100,-47
6101,-35
6102,-65
6103,-50
6104,-39
6105,-75
6106,-27
6107,-33
6108,-83
6109,-52
6110,-34
6111,-83
6112,-68
6113,-34
6114,-68
6115,-60
6116,-31
6117,-82
6118,-57
6119,-35
6120,-44
6121,-79
6122,-43
6123,-46
6124,-70
6125,-76
6126,-38
6127,-27
6128,-58
6129,-90
6130,-44
6131,-31
6132,-37
6133,-89
6134,-47
6135,-34
6136,-67
6137,-67
6138,-46
6139,-57
6140,-70
6141,-30
6142,-35
6143,-74
6144,-34
6145,-49
6146,-66
6147,-60
6148,-41
6149,-73
6150,-72
6151,-49
6152,-56
6153,-67
6154,-34
6155,-31
6156,-85
6157,-53
6158,-44
6159,-75
6160,-45
6161,-37
6162,-66
6163,-25
6164,-52
6165,-62
6166,-27
6167,-50
6168,-72
6169,-43
6170,-38
6171,-81
6172,-42
6173,-35
6174,-84
6175,-47
6176,-52
6177,-71
6178,-35
6179,-74
6180,-53
6181,-37
6182,-56
6183,-41
6184,-52
6185,-88
6186,-38
6187,-47
6188,-67
6189,-34
6190,-61
6191,-71
6192,-24
6193,-77
6194,-45
6195,-42
6196,-55
6197,-35
6198,-71
6199,-34
6200,-49
6201,-77
6202,-31
6203,-67
6204,-69
6205,-41
6206,-82
6207,-58
6208,-25
6209,-63
6210,-77
6211,-32
6212,-74
6213,-52
6214,-38
6215,-73
6216,-43
6217,-38
6218,-77
6219,-56
6220,-30
6221,-67
6222,-71
6223,-34
6224,-62
6225,-93
6226,-31
6227,-48
6228,-81
6229,-47
6230,-26
6231,-65
6232,-36
6233,-33
6234,-69
6235,-47
6236,-39
6237,-44
6238,-79
6239,-51
6240,-24
6241,-79
6242,-57
6243,-39
6244,-73
6245,-63
6246,-28
6247,-49
6248,-83
6249,-52
6250,-26
6251,-23
6252,-73
6253,-56
6254,-40
6255,-47
6256,-64
6257,-34
6258,-30
6259,-54
6260,-83
6261,-56
6262,-16
6263,-57
6264,-84
6265,-34
6266,-36
6267,-44
6268,-81
6269,-56
6270,-33
6271,-80
6272,-67
6273,-14
6274,-50
6275,-88
6276,-24
6277,-44
6278,-75
6279,-19
6280,-52
6281,-83
6282,-49
6283,-46
6284,-87
6285,-37
6286,-42
6287,-76
6288,-50
6289,-31
6290,-60
6291,-72
6292,-33
6293,-54
6294,-55
6295,-27
6296,-64
6297,-64
6298,-31
6299,-73
6300,-46
6301,-32
6302,-68
6303,-63
6304,-19
6305,-72
6306,-39
6307,-51
6308,-91
6309,-28
6310,-38
6311,-77
6312,-20
6313,-72
6314,-75
6315,-43
6316,-91
6317,-48
6318,-47
6319,-64
6320,-34
6321,-72
6322,-42
6323,-52
6324,-79
6325,-34
6326,-56
6327,-70
6328,-27
6329,-83
6330,-54
6331,-35
6332,-68
6333,-52
6334,-63
6335,-79
6336,-48
6337,-64
6338,-51
6339,-40
6340,-64
6341,-75
6342,-45
6343,-41
6344,-83
6345,-44
6346,-37
6347,-76
6348,-25
6349,-38
6350,-82
6351,-51
6352,-27
6353,-79
6354,-51
6355,-29
6356,-85
6357,-64
6358,-30
6359,-68
6360,-63
6361,-29
6362,-58
6363,-73
6364,-34
6365,-36
6366,-87
6367,-36
6368,-47
6369,-79
6370,-57
6371,-39
6372,-46
6373,-86
6374,-55
6375,-27
6376,-77
6377,-79
6378,-38
6379,-34
6380,-61
6381,-79
6382,-50
6383,-22
6384,-68
6385,-74
6386,-49
6387,-36
6388,-43
6389,-69
6390,-66
6391,-35
6392,-32
6393,-81
6394,-68
6395,-45
6396,-40
6397,-78
6398,-45
6399,-43
6400,-76
6401,-54
6402,-35
6403,-79
6404,-51
6405,-37
6406,-83
6407,-72
6408,-35
6409,-78
6410,-82
6411,-24
6412,-57
6413,-82
6414,-6
6415,-58
6416,-75
6417,-46
6418,-40
6419,-78
6420,-38
6421,-36
6422,-85
6423,-55
6424,-44
6425,-81
6426,-64
6427,-45
6428,-80
6429,-43
6430,-52
6431,-67
6432,-52
6433,-52
6434,-78
6435,-43
6436,-62
6437,-61
6438,-31
6439,-83
6440,-41
6441,-48
6442,-63
6443,-53
6444,-90
6445,-28
