Reg Address,Data
10516,1402
10517,1521
10518,1566
10519,1667
10520,1963
10521,2071
10522,2189
10523,2309
10524,2402
10525,2520
10526,2601
10527,2683
10528,2786
10529,2848
10530,2920
10531,2983
10532,3054
10533,3092
10534,3126
10535,3166
10536,3178
10537,3195
10538,3196
10539,3193
10540,3185
10541,3173
10542,3159
10543,3125
10544,3090
10545,3043
10546,2982
10547,2915
10548,2860
10549,2764
10550,2703
10551,2602
10552,2511
10553,2407
10554,2310
10555,2200
10556,2081
10557,1956
10558,1824
10559,1691
10560,1545
10561,1421
10562,1286
10563,1138
10564,963
10565,814
10566,681
10567,493
10568,376
10569,205
10570,29
10571,65423
10572,65251
10573,65110
10574,64961
10575,64783
10576,64625
10577,64495
10578,64331
10579,64180
10580,64057
10581,63968
10582,63877
10583,63693
10584,63500
10585,63368
10586,63258
10587,63143
10588,63049
10589,62946
10590,62850
10591,62762
10592,62681
10593,62608
10594,62547
10595,62481
10596,62431
10597,62390
10598,62343
10599,62302
10600,62292
10601,62274
10602,62281
10603,62275
10604,62286
10605,62292
10606,62325
10607,62349
10608,62386
10609,62431
10610,62481
10611,62552
10612,62622
10613,62685
10614,62774
10615,62861
10616,62976
10617,63056
10618,63165
10619,63263
10620,63409
10621,63523
10622,63657
10623,63787
10624,63921
10625,64064
10626,64216
10627,64348
10628,64507
10629,64668
10630,64819
10631,64964
10632,65122
10633,65294
10634,65447
10635,67
10636,209
10637,381
10638,539
10639,694
10640,848
10641,1001
10642,1153
10643,1290
10644,1438
10645,1546
10646,1587
10647,1734
10648,1987
10649,2095
10650,2220
10651,2330
10652,2429
10653,2539
10654,2620
10655,2710
10656,2793
10657,2870
10658,2941
10659,2999
10660,3045
10661,3081
10662,3135
10663,3162
10664,3192
10665,3181
10666,3196
10667,3197
10668,3201
10669,3167
10670,3157
10671,3113
10672,3085
10673,3028
10674,2972
10675,2915
10676,2843
10677,2770
10678,2669
10679,2571
10680,2497
10681,2402
10682,2284
10683,2162
10684,2059
10685,1926
10686,1790
10687,1661
10688,1546
10689,1381
10690,1261
10691,1094
10692,962
10693,791
10694,642
10695,475
10696,336
10697,165
10698,52
10699,65379
10700,65214
10701,65070
10702,64896
10703,64755
10704,64599
10705,64456
10706,64291
10707,64159
10708,64030
10709,63945
10710,63875
10711,63597
10712,63469
10713,63352
10714,63244
10715,63129
10716,63034
10717,62917
10718,62830
10719,62740
10720,62664
10721,62589
10722,62536
10723,62482
10724,62417
10725,62365
10726,62332
10727,62314
10728,62286
10729,62265
10730,62280
10731,62267
10732,62281
10733,62302
10734,62304
10735,62354
10736,62409
10737,62458
10738,62516
10739,62563
10740,62634
10741,62712
10742,62780
10743,62869
10744,62978
10745,63070
10746,63205
10747,63304
10748,63424
10749,63543
10750,63674
10751,63819
10752,63951
10753,64101
10754,64237
10755,64373
10756,64544
10757,64696
10758,64841
10759,64986
10760,65154
10761,65312
10762,65458
10763,97
10764,253
10765,410
10766,561
10767,724
10768,867
10769,1007
10770,1163
10771,1318
10772,1460
10773,1556
10774,1578
10775,1816
10776,1992
10777,2120
10778,2246
10779,2354
10780,2454
10781,2546
10782,2652
10783,2720
10784,2811
10785,2885
10786,2952
10787,3008
10788,3064
10789,3099
10790,3134
10791,3157
10792,3179
10793,3194
10794,3199
10795,3199
10796,3168
10797,3175
10798,3143
10799,3114
10800,3061
10801,3020
10802,2956
10803,2896
10804,2815
10805,2750
10806,2672
10807,2568
10808,2479
10809,2375
10810,2253
10811,2140
10812,2032
10813,1901
10814,1766
10815,1655
10816,1502
10817,1346
10818,1218
10819,1054
10820,921
10821,754
10822,619
10823,460
10824,305
10825,128
10826,65524
10827,65349
10828,65199
10829,65041
10830,64878
10831,64726
10832,64576
10833,64422
10834,64289
10835,64132
10836,64010
10837,63948
10838,63857
10839,63576
10840,63464
10841,63325
10842,63198
10843,63107
10844,62998
10845,62902
10846,62812
10847,62732
10848,62641
10849,62578
10850,62516
10851,62448
10852,62413
10853,62362
10854,62335
10855,62319
10856,62295
10857,62271
10858,62281
10859,62266
10860,62267
10861,62299
10862,62321
10863,62354
10864,62403
10865,62462
10866,62503
10867,62577
10868,62642
10869,62713
10870,62811
10871,62900
10872,62994
10873,63103
10874,63207
10875,63321
10876,63449
10877,63574
10878,63701
10879,63821
10880,63990
10881,64106
10882,64263
10883,64427
10884,64572
10885,64728
10886,64864
10887,65039
10888,65176
10889,65330
10890,65478
10891,135
10892,294
10893,453
10894,596
10895,742
10896,899
10897,1047
10898,1198
10899,1335
10900,1474
10901,1556
10902,1629
10903,1903
10904,2019
10905,2141
10906,2245
10907,2362
10908,2451
10909,2561
10910,2660
10911,2753
10912,2826
10913,2894
10914,2958
10915,3009
10916,3076
10917,3113
10918,3145
10919,3175
10920,3199
10921,3194
10922,3196
10923,3193
10924,3184
10925,3169
10926,3150
10927,3095
10928,3059
10929,3011
10930,2948
10931,2872
10932,2835
10933,2727
10934,2636
10935,2575
10936,2473
10937,2354
10938,2235
10939,2122
10940,2006
10941,1878
10942,1746
10943,1618
10944,1486
10945,1335
10946,1185
10947,1050
10948,905
10949,735
10950,580
10951,414
10952,267
10953,112
10954,65493
10955,65329
10956,65162
10957,65016
10958,64854
10959,64699
10960,64543
10961,64411
10962,64265
10963,64110
10964,63976
10965,63926
10966,63855
10967,63545
10968,63431
10969,63313
10970,63194
10971,63088
10972,62969
10973,62893
10974,62796
10975,62724
10976,62632
10977,62567
10978,62505
10979,62434
10980,62395
10981,62365
10982,62333
10983,62299
10984,62281
10985,62276
10986,62266
10987,62283
10988,62287
10989,62306
10990,62342
10991,62372
10992,62418
10993,62473
10994,62519
10995,62596
10996,62654
10997,62743
10998,62822
10999,62908
11000,63009
11001,63115
11002,63232
11003,63348
11004,63460
11005,63577
11006,63713
11007,63866
11008,63991
11009,64148
11010,64296
11011,64431
11012,64592
11013,64752
11014,64909
11015,65045
11016,65211
11017,65373
11018,26
11019,143
11020,310
11021,492
11022,625
11023,792
11024,927
11025,1094
11026,1242
11027,1371
11028,1492
11029,1547
11030,1644
11031,1927
11032,2046
11033,2164
11034,2276
11035,2380
11036,2494
11037,2593
11038,2689
11039,2755
11040,2819
11041,2910
11042,2962
11043,3017
11044,3069
11045,3107
11046,3152
11047,3171
11048,3196
11049,3183
11050,3201
11051,3206
11052,3174
11053,3165
11054,3134
11055,3099
11056,3042
11057,3012
11058,2948
11059,2873
11060,2792
11061,2719
11062,2637
11063,2556
11064,2445
11065,2332
11066,2227
11067,2126
11068,2004
11069,1848
11070,1723
11071,1589
11072,1449
11073,1322
11074,1165
11075,1007
11076,870
11077,700
11078,555
11079,404
11080,242
11081,85
11082,65463
11083,65303
11084,65134
11085,64982
11086,64822
11087,64672
11088,64526
11089,64386
11090,64217
11091,64084
11092,63987
11093,63907
11094,63836
11095,63533
11096,63403
11097,63290
11098,63172
11099,63053
11100,62967
11101,62879
11102,62776
11103,62686
11104,62627
11105,62549
11106,62488
11107,62434
11108,62385
11109,62344
11110,62314
11111,62320
11112,62277
11113,62269
11114,62254
11115,62278
11116,62288
11117,62299
11118,62341
11119,62390
11120,62417
11121,62482
11122,62541
11123,62585
11124,62664
11125,62771
11126,62848
11127,62928
11128,63041
11129,63149
11130,63265
11131,63362
11132,63485
11133,63619
11134,63753
11135,63880
11136,64018
11137,64167
11138,64316
11139,64463
11140,64609
11141,64782
11142,64924
11143,65103
11144,65243
11145,65389
11146,53
11147,175
11148,334
11149,508
11150,657
11151,810
11152,953
11153,1104
11154,1266
11155,1389
11156,1516
11157,1557
11158,1661
11159,1945
11160,2059
11161,2195
11162,2301
11163,2416
11164,2508
11165,2608
11166,2680
11167,2782
11168,2851
11169,2921
11170,3000
11171,3024
11172,3077
11173,3118
11174,3154
11175,3158
11176,3201
11177,3205
11178,3195
11179,3187
11180,3180
11181,3148
11182,3120
11183,3088
11184,3032
11185,2993
11186,2928
11187,2852
11188,2775
11189,2705
11190,2607
11191,2526
11192,2424
11193,2317
11194,2190
11195,2075
11196,1942
11197,1828
11198,1700
11199,1569
11200,1424
11201,1286
11202,1138
11203,992
11204,828
11205,691
11206,525
11207,357
11208,211
11209,46
11210,65435
11211,65265
11212,65116
11213,64941
11214,64798
11215,64646
11216,64489
11217,64349
11218,64198
11219,64051
11220,63969
11221,63887
11222,63723
11223,63500
11224,63374
11225,63256
11226,63158
11227,63033
11228,62947
11229,62849
11230,62759
11231,62680
11232,62611
11233,62541
11234,62489
11235,62425
11236,62392
11237,62349
11238,62309
11239,62291
11240,62279
11241,62274
11242,62263
11243,62263
11244,62295
11245,62307
11246,62347
11247,62405
11248,62433
11249,62477
11250,62567
11251,62620
11252,62681
11253,62784
11254,62864
11255,62951
11256,63061
11257,63163
11258,63281
11259,63402
11260,63531
11261,63648
11262,63776
11263,63907
11264,64060
11265,64208
11266,64334
11267,64491
11268,64650
11269,64801
11270,64961
11271,65103
11272,65253
11273,65423
11274,38
11275,210
11276,387
11277,525
11278,687
11279,837
11280,979
11281,1150
11282,1294
11283,1419
11284,1532
11285,1567
11286,1711
11287,1966
11288,2101
11289,2214
11290,2324
11291,2438
11292,2536
11293,2621
11294,2701
11295,2796
11296,2870
11297,2935
11298,2991
11299,3045
11300,3093
