Reg Address,Data
12820,8
12821,65519
12822,65521
12823,14
12824,5
12825,65519
12826,3
12827,1
12828,7
12829,65513
12830,3
12831,16
12832,1
12833,65531
12834,65534
12835,15
12836,65533
12837,65514
12838,13
12839,16
12840,65531
12841,65530
12842,14
12843,65531
12844,65519
12845,65530
12846,65533
12847,65519
12848,65528
12849,8
12850,2
12851,65510
12852,2
12853,6
12854,65529
12855,65535
12856,2
12857,15
12858,65529
12859,65523
12860,65530
12861,5
12862,5
12863,65529
12864,3
12865,4
12866,65522
12867,65509
12868,65530
12869,9
12870,65529
12871,0
12872,18
12873,11
12874,65506
12875,0
12876,6
12877,1
12878,65508
12879,65529
12880,15
12881,15
12882,65527
12883,6
12884,0
12885,14
12886,2
12887,65525
12888,65534
12889,20
12890,14
12891,65518
12892,65523
12893,4
12894,11
12895,1
12896,65522
12897,65520
12898,65533
12899,3
12900,65517
12901,65527
12902,3
12903,13
12904,2
12905,65526
12906,65529
12907,10
12908,0
12909,7
12910,65527
12911,65523
12912,14
12913,5
12914,65520
12915,0
12916,11
12917,22
12918,65521
12919,65505
12920,65527
12921,23
12922,16
12923,8
12924,65530
12925,8
12926,20
12927,16
12928,65534
12929,65521
12930,19
12931,24
12932,65535
12933,65515
12934,4
12935,30
12936,65522
12937,65520
12938,65534
12939,11
12940,7
12941,65523
12942,7
12943,22
12944,0
12945,65524
12946,4
12947,10
12948,5
12949,65530
12950,65525
12951,14
12952,65516
12953,0
12954,65520
12955,14
12956,22
12957,65530
12958,3
12959,2
12960,65533
12961,65509
12962,3
12963,9
12964,7
12965,65534
12966,7
12967,7
12968,4
12969,65525
12970,65530
12971,65534
12972,65524
12973,0
12974,9
12975,65528
12976,65528
12977,0
12978,21
12979,5
12980,65530
12981,65535
12982,4
12983,65534
12984,65522
12985,65530
12986,6
12987,65522
12988,65532
12989,13
12990,16
12991,65516
12992,65517
12993,65530
12994,65529
12995,65525
12996,6
12997,18
12998,65516
12999,65508
13000,2
13001,9
13002,1
13003,2
13004,8
13005,12
13006,0
13007,65511
13008,65530
13009,11
13010,65533
13011,65516
13012,7
13013,11
13014,2
13015,65524
13016,65514
13017,0
13018,8
13019,65521
