Reg Address,Data
15124,43
15125,20
15126,21
15127,12
15128,6
15129,7
15130,11
15131,10
15132,21
15133,36
15134,29
15135,44
15136,39
15137,26
15138,19
15139,15
15140,3
15141,3
15142,2
15143,28
15144,25
15145,17
15146,48
15147,30
15148,39
15149,19
15150,65535
15151,2
15152,14
15153,21
15154,14
15155,32
15156,33
15157,35
15158,49
15159,36
15160,21
15161,7
15162,0
15163,65533
15164,14
15165,29
15166,33
15167,44
15168,25
15169,24
15170,25
15171,14
15172,65534
15173,13
15174,7
15175,21
15176,26
15177,42
15178,41
15179,30
15180,42
15181,2
15182,11
15183,11
15184,65533
15185,24
15186,28
15187,37
15188,34
15189,32
15190,30
15191,9
15192,2
15193,15
15194,20
15195,48
15196,41
15197,32
15198,12
15199,65534
15200,8
15201,19
15202,24
15203,43
15204,30
15205,7
15206,4
15207,5
15208,38
15209,38
15210,36
15211,29
15212,32
15213,0
15214,4
15215,6
15216,4
15217,36
15218,33
15219,37
15220,22
15221,13
15222,65528
15223,19
15224,25
15225,56
15226,33
15227,32
15228,4
15229,10
15230,4
15231,17
15232,29
15233,50
15234,34
15235,36
15236,22
15237,10
15238,65534
15239,19
15240,37
15241,40
15242,47
15243,6
15244,6
15245,13
15246,65535
15247,65529
15248,2
15249,11
15250,39
15251,43
15252,31
15253,37
15254,10
15255,65534
15256,10
15257,65530
15258,0
15259,10
15260,34
15261,36
15262,54
15263,38
15264,29
15265,20
15266,18
15267,13
15268,11
15269,6
15270,65534
15271,18
15272,17
15273,30
15274,46
15275,33
15276,46
15277,17
15278,34
15279,26
15280,17
15281,8
15282,5
15283,22
15284,12
15285,25
15286,26
15287,31
15288,30
15289,24
15290,27
15291,37
15292,23
15293,20
15294,35
15295,13
15296,2
15297,2
15298,11
15299,7
15300,5
15301,25
15302,38
15303,48
15304,31
15305,23
15306,8
15307,30
15308,10
15309,17
15310,43
15311,38
15312,28
15313,12
15314,65520
15315,23
15316,31
15317,31
15318,55
15319,32
15320,30
15321,5
15322,0
15323,17
15324,36
15325,36
15326,19
15327,15
15328,65531
15329,65525
15330,17
15331,24
15332,21
15333,35
15334,35
15335,3
15336,7
15337,14
15338,21
15339,24
15340,46
15341,28
15342,26
15343,12
15344,8
15345,2
15346,18
15347,30
15348,38
15349,44
15350,42
15351,19
15352,6
15353,10
15354,21
15355,23
15356,29
15357,46
15358,16
15359,1
15360,4
15361,14
15362,19
15363,17
15364,43
15365,38
15366,50
15367,28
15368,26
15369,4
15370,7
15371,6
15372,17
15373,25
15374,36
15375,50
15376,36
15377,32
15378,65533
15379,5
15380,65533
15381,23
15382,16
15383,35
15384,48
15385,36
15386,24
15387,17
15388,15
15389,16
15390,10
15391,25
15392,40
15393,38
15394,34
15395,38
15396,32
15397,32
15398,15
15399,15
15400,3
15401,65523
15402,4
15403,9
15404,13
15405,22
15406,21
15407,29
15408,39
15409,41
15410,39
15411,18
15412,15
15413,30
15414,6
15415,17
15416,19
15417,22
15418,42
15419,34
15420,36
15421,29
15422,30
15423,30
15424,23
15425,2
15426,9
15427,3
15428,4
15429,27
15430,16
15431,30
15432,47
15433,45
15434,37
15435,21
15436,3
15437,7
15438,33
15439,31
15440,50
15441,32
15442,6
15443,0
15444,2
15445,8
15446,18
15447,32
15448,42
15449,29
15450,65535
15451,7
15452,20
15453,21
15454,13
15455,52
15456,47
15457,17
15458,4
15459,65533
15460,16
15461,29
15462,33
15463,40
15464,41
15465,22
15466,22
15467,18
15468,21
15469,24
15470,31
15471,56
15472,21
15473,65527
15474,6
15475,6
15476,25
15477,30
15478,53
15479,41
15480,6
15481,15
15482,8
15483,22
15484,37
15485,62
15486,28
15487,16
15488,65523
15489,8
15490,12
15491,37
15492,35
15493,32
15494,22
15495,10
15496,19
15497,20
15498,16
15499,50
15500,37
15501,36
15502,25
15503,9
15504,65534
15505,65529
15506,13
15507,25
15508,27
15509,38
15510,38
15511,35
15512,8
15513,25
15514,65524
15515,13
15516,25
15517,5
15518,12
15519,24
15520,43
15521,43
15522,37
15523,7
15524,65534
15525,11
15526,3
15527,65532
15528,8
15529,17
15530,22
15531,33
15532,35
15533,46
15534,42
15535,44
15536,26
15537,30
15538,25
15539,15
15540,1
15541,4
15542,12
15543,16
15544,44
15545,35
15546,42
15547,43
15548,15
15549,8
15550,15
15551,0
15552,16
15553,39
15554,28
15555,48
15556,40
15557,26
15558,3
15559,9
15560,14
15561,23
15562,35
15563,44
15564,34
15565,31
15566,7
15567,65533
15568,7
15569,22
15570,41
15571,45
15572,26
15573,37
15574,5
15575,13
15576,13
15577,9
15578,30
