Reg Address,Data
5908,65473
5909,65474
5910,65435
5911,65464
5912,65461
5913,65433
5914,65451
5915,65456
5916,65466
5917,65459
5918,65455
5919,65450
5920,65469
5921,65451
5922,65458
5923,65438
5924,65450
5925,65441
5926,65442
5927,65469
5928,65451
5929,65447
5930,65467
5931,65456
5932,65444
5933,65443
5934,65439
5935,65419
5936,65453
5937,65446
5938,65427
5939,65488
5940,65498
5941,65503
5942,65473
5943,65460
5944,65425
5945,65449
5946,65461
5947,65455
5948,65474
5949,65479
5950,65483
5951,65443
5952,65444
5953,65471
5954,65450
5955,65454
5956,65428
5957,65463
5958,65447
5959,65466
5960,65483
5961,65430
5962,65409
5963,65464
5964,65463
5965,65446
5966,65464
5967,65459
5968,65487
5969,65468
5970,65432
5971,65441
5972,65451
5973,65474
5974,65448
5975,65449
5976,65474
5977,65443
5978,65415
5979,65423
5980,65457
5981,65462
5982,65452
5983,65481
5984,65454
5985,65443
5986,65448
5987,65439
5988,65427
5989,65466
5990,65436
5991,65430
5992,65463
5993,65427
5994,65447
5995,65473
5996,65445
5997,65467
5998,65483
5999,65512
6000,16
6001,49
6002,50
6003,78
6004,73
6005,72
6006,103
6007,96
6008,102
6009,129
6010,135
6011,138
6012,137
6013,134
6014,136
6015,154
6016,163
6017,149
6018,156
6019,164
6020,147
6021,180
6022,179
6023,188
6024,194
6025,213
6026,203
6027,208
6028,206
6029,204
6030,217
6031,240
6032,230
6033,221
6034,234
6035,249
6036,253
6037,236
6038,237
6039,243
6040,250
6041,281
6042,289
6043,287
6044,291
6045,314
6046,300
6047,288
6048,314
6049,308
6050,301
6051,325
6052,307
6053,338
6054,330
6055,344
6056,331
6057,344
6058,345
6059,351
6060,386
6061,373
6062,377
6063,393
6064,398
6065,392
6066,397
6067,415
6068,429
6069,428
6070,414
6071,432
6072,437
6073,423
6074,410
6075,437
6076,450
6077,460
6078,456
6079,468
6080,455
6081,467
6082,480
6083,466
6084,466
6085,466
6086,465
6087,474
6088,483
6089,480
6090,485
6091,509
6092,503
6093,490
6094,508
6095,498
6096,518
6097,527
6098,519
6099,523
6100,543
6101,525
6102,542
6103,528
6104,548
6105,532
6106,573
6107,569
6108,585
6109,565
6110,576
6111,576
6112,589
6113,601
6114,606
6115,611
6116,617
6117,613
6118,629
6119,625
6120,627
6121,644
6122,656
6123,629
6124,646
6125,637
