Reg Address,Data
8212,65314
8213,65405
8214,65502
8215,52
8216,146
8217,236
8218,328
8219,418
8220,504
8221,590
8222,677
8223,759
8224,841
8225,918
8226,996
8227,1070
8228,1140
8229,1208
8230,1273
8231,1335
8232,1393
8233,1448
8234,1496
8235,1543
8236,1585
8237,1626
8238,1659
8239,1690
8240,1716
8241,1736
8242,1755
8243,1768
8244,1775
8245,1779
8246,1779
8247,1772
8248,1762
8249,1746
8250,1731
8251,1704
8252,1676
8253,1645
8254,1610
8255,1567
8256,1522
8257,1474
8258,1421
8259,1368
8260,1308
8261,1244
8262,1179
8263,1109
8264,1038
8265,963
8266,884
8267,804
8268,721
8269,638
8270,551
8271,463
8272,377
8273,286
8274,193
8275,101
8276,12
8277,65453
8278,65362
8279,65268
8280,65177
8281,65086
8282,64995
8283,64907
8284,64819
8285,64733
8286,64647
8287,64564
8288,64482
8289,64406
8290,64329
8291,64256
8292,64187
8293,64118
8294,64052
8295,63991
8296,63934
8297,63879
8298,63832
8299,63783
8300,63742
8301,63705
8302,63669
8303,63639
8304,63615
8305,63593
8306,63576
8307,63564
8308,63557
8309,63553
8310,63556
8311,63561
8312,63572
8313,63585
8314,63605
8315,63629
8316,63658
8317,63690
8318,63727
8319,63769
8320,63813
8321,63861
8322,63916
8323,63971
8324,64030
8325,64092
8326,64160
8327,64230
8328,64301
8329,64376
8330,64455
8331,64537
8332,64617
8333,64700
8334,64788
8335,64875
8336,64965
8337,65055
8338,65147
8339,65237
8340,65332
8341,65425
8342,65517
8343,73
8344,164
8345,255
8346,344
8347,433
8348,523
8349,608
8350,692
8351,774
8352,855
8353,934
8354,1010
8355,1082
8356,1152
8357,1220
8358,1284
8359,1344
8360,1403
8361,1456
8362,1504
8363,1553
8364,1593
8365,1632
8366,1665
8367,1694
8368,1720
8369,1740
8370,1757
8371,1770
8372,1777
8373,1778
8374,1779
8375,1769
8376,1759
8377,1745
8378,1725
8379,1700
8380,1672
8381,1639
8382,1602
8383,1560
8384,1514
8385,1466
8386,1412
8387,1357
8388,1295
8389,1231
8390,1167
8391,1097
8392,1024
8393,944
8394,870
8395,789
8396,706
8397,622
8398,535
8399,447
8400,358
8401,268
8402,177
8403,85
8404,65530
8405,65432
8406,65344
8407,65251
8408,65160
8409,65068
8410,64977
8411,64889
8412,64801
8413,64716
8414,64631
8415,64551
8416,64468
8417,64392
8418,64316
8419,64239
8420,64172
8421,64105
8422,64042
8423,63980
