Reg Address,Data
1300,28
1301,0
1302,10
1303,-6
1304,-12
1305,23
1306,-21
1307,18
1308,4
1309,13
1310,19
1311,-15
1312,30
1313,-22
1314,20
1315,-9
1316,-2
1317,8
1318,0
1319,21
1320,-18
1321,18
1322,-16
1323,20
1324,5
1325,-14
1326,17
1327,-3
1328,26
1329,-14
1330,12
1331,3
1332,2
1333,24
1334,-9
1335,17
1336,-14
1337,34
1338,-10
1339,11
1340,10
1341,7
1342,34
1343,-6
1344,33
1345,-8
1346,23
1347,6
1348,-4
1349,8
1350,-14
1351,25
1352,-14
1353,22
1354,-9
1355,12
1356,24
1357,-19
1358,26
1359,-12
1360,16
1361,0
1362,8
1363,12
1364,0
1365,19
1366,-24
1367,35
1368,0
1369,13
1370,14
1371,-11
1372,26
1373,-12
1374,34
1375,-13
1376,12
1377,-12
1378,0
1379,24
1380,-12
1381,24
1382,-10
1383,14
1384,8
1385,-3
1386,23
1387,-11
1388,37
1389,-20
1390,15
1391,2
1392,5
1393,28
1394,-15
1395,37
1396,-7
1397,9
1398,12
1399,-11
1400,32
1401,-11
1402,14
1403,-1
1404,13
1405,8
1406,-9
1407,33
1408,0
1409,16
1410,11
1411,1
1412,25
1413,-12
1414,35
1415,-17
1416,9
1417,29
1418,4
1419,33
1420,-14
1421,43
1422,6
1423,-8
1424,21
1425,-10
1426,36
1427,-5
1428,18
1429,9
1430,5
1431,19
1432,-22
1433,38
1434,-11
1435,27
1436,5
1437,-15
1438,15
1439,-12
1440,33
1441,-5
1442,29
1443,9
1444,-2
1445,32
1446,-13
1447,30
1448,-11
1449,29
1450,-3
1451,8
1452,18
1453,1
1454,13
1455,-14
1456,16
1457,-17
1458,27
1459,-1
1460,18
1461,15
1462,-1
1463,49
1464,-20
1465,22
1466,-19
1467,22
1468,18
1469,1
1470,17
1471,-15
1472,35
1473,0
1474,19
1475,-7
1476,13
1477,12
1478,-11
1479,16
1480,-24
1481,28
1482,-5
1483,31
1484,3
1485,6
1486,14
1487,-5
1488,7
1489,-24
1490,32
1491,0
1492,15
1493,19
1494,-17
1495,42
1496,-14
1497,26
1498,-3
1499,15
1500,22
1501,-10
1502,7
1503,-11
1504,38
1505,-3
1506,14
1507,1
1508,-2
1509,30
1510,-11
1511,34
1512,-7
1513,15
1514,7
1515,-12
1516,23
1517,-12
1518,31
1519,6
1520,-1
1521,14
1522,-18
1523,27
1524,-23
1525,17
1526,-5
1527,1
1528,36
1529,2
1530,21
1531,-6
1532,4
1533,24
1534,-16
1535,14
1536,-7
1537,11
1538,13
1539,-11
1540,21
1541,-19
1542,35
1543,-4
1544,9
1545,17
1546,-5
1547,33
1548,-6
1549,22
1550,-5
1551,0
1552,11
1553,-10
1554,38
1555,-19
1556,9
1557,-2
1558,15
1559,9
1560,-19
1561,41
1562,-13
1563,23
1564,-8
1565,5
1566,14
1567,-14
1568,10
1569,-15
1570,19
1571,-11
1572,18
1573,9
1574,-2
1575,22
1576,-3
1577,31
1578,-10
1579,30
1580,1
1581,23
1582,-9
1583,2
1584,41
1585,-19
1586,21
1587,-15
1588,19
1589,2
1590,11
1591,12
1592,-3
1593,17
1594,-19
1595,35
1596,-25
1597,26
1598,3
1599,4
1600,15
1601,-17
1602,30
1603,-18
1604,14
1605,-10
1606,8
1607,8
1608,-17
1609,40
1610,-15
1611,30
1612,0
1613,7
1614,31
1615,-6
1616,27
1617,-16
1618,22
1619,-22
1620,23
1621,-12
1622,-1
1623,16
1624,-9
1625,10
1626,-11
1627,28
1628,0
1629,10
1630,28
1631,-4
1632,34
1633,-33
1634,38
1635,1
1636,-11
1637,8
1638,-22
1639,27
1640,-8
1641,17
1642,0
1643,7
1644,41
1645,-13
1646,21
1647,-25
1648,12
1649,17
1650,0
1651,39
1652,-19
1653,33
1654,6
1655,0
1656,22
1657,-17
1658,44
1659,-4
1660,27
1661,8
1662,10
1663,29
1664,-14
1665,22
1666,5
1667,2
1668,24
1669,-17
1670,19
1671,-4
1672,5
1673,24
1674,-14
1675,25
1676,-16
1677,13
1678,14
1679,5
1680,20
1681,-11
1682,32
1683,26
1684,1
1685,22
1686,-23
1687,30
1688,-6
1689,5
1690,6
1691,4
1692,23
1693,-15
1694,19
1695,4
1696,10
1697,16
1698,-17
1699,17
1700,-15
1701,19
1702,11
1703,-11
1704,24
1705,-14
1706,31
1707,-16
1708,10
1709,0
1710,22
1711,13
1712,-13
1713,27
1714,-5
1715,20
1716,-3
1717,6
1718,20
1719,-6
1720,23
1721,-16
1722,19
1723,-5
1724,26
1725,-7
1726,5
1727,13
1728,-4
1729,22
1730,-3
1731,14
1732,-7
1733,18
1734,13
1735,-12
1736,21
1737,-9
1738,35
1739,-3
1740,18
1741,10
1742,2
1743,22
1744,-27
1745,25
1746,-5
1747,6
1748,31
1749,-9
1750,38
1751,0
1752,38
1753,-3
1754,-1
1755,11
1756,-12
1757,37
1758,-9
1759,24
1760,-3
1761,-12
1762,29
1763,-19
1764,20
1765,0
1766,3
1767,14
1768,-18
1769,20
1770,-8
1771,29
1772,2
1773,-19
1774,29
1775,-12
1776,26
1777,17
1778,0
1779,23
1780,-18
1781,30
1782,9
1783,-1
1784,0
1785,-12
1786,38
1787,-22
1788,21
1789,12
1790,1
1791,32
1792,-9
1793,11
1794,5
1795,5
1796,20
1797,-15
1798,24
1799,-13
1800,9
1801,17
1802,-15
1803,28
1804,-3
1805,30
1806,1
1807,-1
1808,17
1809,-3
1810,22
1811,-15
1812,10
1813,-7
1814,24
1815,14
1816,-5
1817,8
1818,-18
1819,40
1820,-7
1821,14
1822,9
1823,-3
1824,28
1825,-21
1826,13
1827,-12
1828,17
1829,10
1830,5
1831,13
1832,-18
1833,44
1834,-17
1835,14
1836,-6
1837,-3
1838,38
1839,-17
1840,34
1841,-6
1842,11
1843,7
1844,2
1845,12
1846,-8
1847,23
1848,-21
1849,11
1850,-19
1851,39
1852,12
1853,-1
1854,11
1855,-13
1856,33
1857,-14
1858,19
1859,-10
1860,20
1861,7
1862,7
1863,25
1864,-8
1865,31
1866,-18
1867,26
1868,-19
1869,10
1870,11
1871,-7
1872,12
1873,-12
1874,36
1875,-20
1876,22
1877,-1
1878,16
1879,9
1880,-8
1881,27
1882,-8
1883,25
1884,2
1885,20
1886,10
1887,-3
1888,40
1889,-19
1890,22
1891,-10
1892,10
1893,16
1894,-1
1895,25
1896,-26
1897,35
1898,-9
1899,2
1900,16
1901,2
1902,31
1903,-4
1904,24
1905,-1
1906,-5
1907,35
1908,-15
1909,28
1910,-4
1911,8
1912,-1
1913,-11
1914,35
1915,-11
1916,34
1917,-9
1918,20
1919,10
1920,-4
1921,31
1922,-23
1923,17
1924,5
1925,2
1926,18
1927,-10
1928,26
1929,-7
1930,27
1931,-3
1932,17
1933,4
1934,14
1935,21
1936,-17
1937,24
1938,-10
1939,23
1940,-3
1941,-4
1942,21
1943,-14
1944,31
1945,0
1946,25
1947,2
1948,5
1949,14
1950,-11
1951,20
1952,-14
1953,14
1954,6
1955,1
1956,33
1957,-17
1958,38
1959,3
1960,0
1961,2
1962,6
1963,25
1964,-27
1965,23
1966,-4
1967,14
1968,25
1969,-12
1970,15
1971,-16
1972,23
1973,-5
1974,3
1975,4
1976,-3
1977,21
1978,-12
1979,27
1980,-12
1981,17
1982,6
1983,2
1984,14
1985,-10
1986,31
1987,-7
1988,22
1989,-4
1990,17
1991,22
1992,-7
1993,29
1994,-13
1995,10
1996,-8
1997,5
1998,14
1999,-12
2000,26
2001,0
2002,23
2003,-20
2004,33
2005,-3
2006,13
2007,2
2008,5
2009,17
2010,-7
2011,15
2012,-13
2013,25
2014,0
2015,14
2016,11
2017,-12
2018,29
2019,-1
2020,25
2021,-3
2022,20
2023,26
2024,-8
2025,22
2026,-5
2027,27
2028,-6
2029,12
2030,3
2031,4
2032,26
2033,-13
2034,47
2035,-6
2036,47
2037,-1
2038,13
2039,2
2040,-13
2041,37
2042,-9
2043,31
2044,7
2045,175
2046,298
2047,303
2048,313
2049,309
2050,321
2051,323
2052,311
2053,574
2054,629
2055,636
2056,629
2057,615
2058,621
2059,624
2060,657
2061,928
2062,938
2063,930
2064,939
2065,946
2066,941
2067,944
2068,1123
2069,1242
2070,1256
2071,1250
2072,1245
2073,1256
2074,1254
2075,1257
2076,1495
2077,1564
2078,1566
2079,1569
2080,1565
2081,1564
2082,1568
2083,1638
2084,1855
2085,1871
2086,1889
2087,1880
2088,1881
2089,1892
2090,1896
2091,2057
2092,2172
2093,2213
2094,2187
2095,2200
2096,2185
2097,2186
2098,2181
2099,2446
2100,2508
2101,2498
2102,2525
2103,2495
2104,2503
2105,2504
2106,2583
2107,2801
2108,2803
2109,2819
2110,2824
2111,2828
2112,2815
2113,2815
2114,2980
2115,3127
2116,3126
2117,3140
2118,3145
2119,3132
2120,3128
2121,3130
2122,3385
2123,3435
2124,3433
2125,3428
2126,3436
2127,3454
2128,3448
2129,3489
2130,3728
2131,3754
2132,3748
2133,3752
2134,3763
2135,3740
2136,3755
2137,3918
2138,4058
2139,4081
2140,4058
2141,4075
2142,4068
2143,4064
2144,4085
2145,4313
2146,4375
2147,4386
2148,4377
2149,4386
2150,4377
2151,4380
2152,4436
2153,4655
2154,4673
2155,4681
2156,4705
2157,4697
2158,4712
2159,4694
2160,4872
2161,4995
2162,5017
2163,5023
2164,5009
2165,5026
2166,5008
2167,4998
2168,5254
2169,5327
2170,5300
2171,5311
2172,5323
2173,5312
2174,5338
2175,5352
2176,5604
2177,5645
2178,5632
2179,5632
2180,5641
2181,5640
2182,5631
2183,5798
2184,5919
2185,5954
2186,5928
2187,5940
2188,5937
2189,5923
2190,5958
2191,6181
