Reg Address,Data
17428,514
17429,514
17430,514
17431,514
17432,514
17433,514
17434,514
17435,514
17436,514
17437,514
17438,514
17439,514
17440,514
17441,514
17442,514
17443,514
17444,514
17445,514
17446,514
17447,514
17448,514
17449,514
17450,514
17451,514
17452,514
17453,514
17454,514
17455,514
17456,514
17457,514
17458,514
17459,514
17460,514
17461,514
17462,514
17463,514
17464,514
17465,514
17466,514
17467,514
17468,514
17469,514
17470,514
17471,514
17472,514
17473,514
17474,514
17475,514
17476,514
17477,514
17478,514
17479,514
17480,514
17481,514
17482,514
17483,514
17484,514
17485,514
17486,514
17487,514
17488,514
17489,514
17490,514
17491,514
17492,514
17493,514
17494,514
17495,514
17496,514
17497,514
17498,514
17499,514
17500,514
17501,514
17502,514
17503,514
17504,514
17505,514
17506,514
17507,514
17508,514
17509,514
17510,514
17511,514
17512,514
17513,514
17514,514
17515,514
17516,514
17517,514
17518,514
17519,514
17520,514
17521,514
17522,514
17523,514
17524,514
17525,514
17526,514
17527,514
17528,514
17529,514
17530,514
17531,514
17532,514
17533,514
17534,514
17535,514
17536,514
17537,514
17538,514
17539,514
17540,514
17541,514
17542,514
17543,514
17544,514
17545,514
17546,514
17547,514
17548,514
17549,514
17550,514
17551,514
17552,514
17553,514
17554,514
17555,514
17556,514
17557,514
17558,514
17559,514
17560,514
17561,514
17562,514
17563,514
17564,514
17565,514
17566,514
17567,514
17568,514
17569,514
17570,514
17571,514
17572,514
17573,514
17574,514
17575,514
17576,514
17577,514
17578,514
17579,514
17580,514
17581,514
17582,514
17583,514
17584,514
17585,514
17586,514
17587,514
17588,514
17589,514
17590,514
17591,514
17592,514
17593,514
17594,514
17595,514
17596,514
17597,514
17598,514
17599,514
17600,514
17601,514
17602,514
17603,514
17604,514
17605,514
17606,514
17607,514
17608,514
17609,514
17610,514
17611,514
17612,514
17613,514
17614,514
17615,514
17616,514
17617,514
17618,514
17619,514
17620,514
17621,514
17622,514
17623,514
17624,514
17625,514
17626,514
17627,514
17628,514
17629,514
17630,514
17631,514
17632,514
17633,514
17634,514
17635,514
17636,514
17637,514
17638,514
17639,514
17640,514
17641,514
17642,514
17643,514
17644,514
17645,514
17646,514
17647,514
17648,514
17649,514
17650,514
17651,514
17652,514
17653,514
17654,514
17655,514
17656,514
17657,514
17658,514
17659,514
17660,514
17661,514
17662,514
17663,514
17664,514
17665,514
17666,514
17667,514
17668,514
17669,514
17670,514
17671,514
17672,514
17673,514
17674,514
17675,514
17676,514
17677,514
17678,514
17679,514
17680,514
17681,514
17682,514
17683,514
17684,514
17685,514
17686,514
17687,514
17688,514
17689,514
17690,514
17691,514
17692,514
17693,514
17694,514
17695,514
17696,514
17697,514
17698,514
17699,514
17700,514
17701,514
17702,514
17703,514
17704,514
17705,514
17706,514
17707,514
17708,514
17709,514
17710,514
17711,514
17712,514
17713,514
17714,514
17715,514
17716,514
17717,514
17718,514
17719,514
17720,514
17721,514
17722,514
17723,514
17724,514
17725,514
17726,514
17727,514
17728,514
17729,514
17730,514
17731,514
17732,514
17733,514
17734,514
17735,514
17736,514
17737,514
17738,514
17739,514
17740,514
17741,514
17742,514
17743,514
17744,514
17745,514
17746,514
17747,514
17748,514
17749,514
17750,514
17751,514
17752,514
17753,514
17754,514
17755,514
17756,514
17757,514
17758,514
17759,514
17760,514
17761,514
17762,514
17763,514
17764,514
17765,514
17766,514
17767,514
17768,514
17769,514
17770,514
17771,514
17772,514
17773,514
17774,514
17775,514
17776,514
