Reg Address,Data
10516,-11
10517,23
10518,-36
10519,22
10520,-7
10521,11
10522,-13
10523,14
10524,1
10525,-12
10526,16
10527,-19
10528,26
10529,-33
10530,16
10531,-15
10532,12
10533,-14
10534,-7
10535,8
10536,-14
10537,22
10538,-21
10539,20
10540,-15
10541,22
10542,-5
10543,9
10544,-12
10545,13
10546,-1
10547,-1
10548,1
10549,-10
10550,14
10551,-26
10552,24
10553,-33
10554,17
10555,-27
10556,19
10557,-4
10558,-6
10559,-7
10560,-6
10561,7
10562,-26
10563,4
10564,-20
10565,18
10566,-28
10567,25
10568,-8
10569,18
10570,-41
10571,20
10572,-2
10573,-3
10574,-10
10575,-3
10576,34
10577,-33
10578,10
10579,-32
10580,20
10581,-22
10582,18
10583,-14
10584,8
10585,-29
10586,15
10587,-15
10588,11
10589,-9
10590,17
10591,13
10592,-10
10593,8
10594,-20
10595,13
10596,-23
10597,7
10598,-36
10599,17
10600,-6
10601,22
10602,-11
10603,16
10604,-23
10605,22
10606,-33
10607,10
10608,-10
10609,7
10610,0
10611,-15
10612,-10
10613,-7
10614,-6
10615,-18
10616,13
10617,-31
10618,22
10619,-31
10620,23
10621,-16
10622,22
10623,-20
10624,12
10625,-17
10626,11
10627,-22
10628,10
10629,-2
10630,-18
10631,-3
10632,-12
10633,8
10634,-28
10635,13
10636,-27
10637,17
10638,-13
10639,18
10640,-9
10641,20
10642,-26
10643,12
10644,-7
10645,-27
10646,4
10647,-1
10648,15
10649,-27
10650,20
10651,-27
10652,14
10653,-37
10654,34
10655,-27
10656,7
10657,-22
10658,-3
10659,0
10660,-3
10661,6
10662,-19
10663,3
10664,-36
10665,25
10666,-22
10667,14
10668,-20
10669,-2
10670,-23
10671,11
10672,-16
10673,-1
10674,1
10675,-9
10676,4
10677,-15
10678,4
10679,-16
10680,13
10681,-23
10682,19
10683,-19
10684,23
10685,-22
10686,3
10687,-21
10688,-6
10689,-14
10690,-8
10691,5
10692,-8
10693,12
10694,-21
10695,25
10696,-29
10697,14
10698,-23
10699,22
10700,-26
10701,-6
10702,-5
10703,6
10704,-7
10705,-4
10706,0
10707,-16
10708,4
10709,-15
10710,14
10711,-20
10712,19
10713,-12
10714,19
10715,-23
10716,23
10717,-28
10718,10
10719,0
10720,-9
10721,-18
10722,6
10723,8
10724,-24
10725,13
10726,-23
10727,6
10728,-19
10729,13
10730,-27
10731,7
10732,-21
10733,2
10734,6
10735,-6
10736,14
10737,-17
10738,7
10739,-10
10740,5
10741,-12
10742,13
10743,-39
10744,11
10745,-14
10746,2
10747,-14
10748,-4
10749,10
10750,-14
10751,20
10752,-17
10753,11
10754,-19
10755,4
10756,-5
10757,-5
10758,-7
10759,0
10760,3
10761,-12
10762,11
10763,-9
10764,11
10765,-26
10766,17
10767,-16
10768,21
10769,-15
10770,10
10771,-25
10772,-8
10773,-9
10774,-8
10775,11
10776,-27
10777,24
10778,-23
10779,18
10780,-20
10781,25
10782,-14
10783,13
10784,-12
10785,20
10786,-11
10787,1
10788,-2
10789,-2
10790,-5
10791,4
10792,0
10793,-15
10794,22
10795,-28
10796,7
10797,-23
10798,13
10799,-18
10800,21
10801,-21
10802,15
10803,-19
10804,0
10805,8
10806,-12
10807,9
10808,-12
10809,14
10810,-8
10811,16
10812,-9
10813,9
10814,-28
10815,12
10816,0
10817,-28
10818,17
10819,-24
10820,15
10821,-35
10822,19
10823,-11
10824,9
10825,-25
10826,7
10827,-15
10828,4
10829,0
10830,-11
10831,8
10832,-22
10833,23
10834,-27
10835,14
10836,-41
10837,9
10838,-13
10839,3
10840,-20
10841,-4
10842,-4
10843,0
10844,-3
10845,-9
10846,13
10847,-27
10848,12
10849,-23
10850,14
10851,-27
10852,24
10853,-23
10854,19
10855,-28
10856,24
10857,-18
10858,8
10859,-15
10860,-12
10861,4
10862,-19
10863,0
10864,-24
10865,32
10866,-17
10867,-1
10868,-13
10869,14
10870,-27
10871,9
10872,-20
10873,-4
10874,-15
10875,2
10876,8
10877,-9
10878,13
10879,-12
10880,24
10881,-34
10882,30
10883,-17
10884,12
10885,-19
10886,13
10887,-14
10888,-3
10889,-5
10890,-17
10891,-8
10892,-8
10893,3
10894,-18
10895,14
10896,-36
10897,16
10898,-24
10899,18
10900,-32
10901,4
10902,-9
10903,-3
10904,-16
10905,5
10906,20
10907,-26
10908,4
10909,-12
10910,6
10911,-31
10912,22
10913,-23
10914,21
10915,-16
10916,9
10917,-22
10918,16
10919,-32
10920,26
10921,-18
10922,8
10923,-9
10924,1
10925,12
10926,-11
10927,-5
10928,-25
10929,11
10930,-23
10931,16
10932,-14
10933,14
10934,-45
10935,19
10936,-15
10937,19
10938,-8
10939,-1
