Reg Address,Data
12820,-7
12821,-2
12822,6
12823,-10
12824,-13
12825,-2
12826,13
12827,-9
12828,-14
12829,3
12830,4
12831,-11
12832,-10
12833,0
12834,4
12835,2
12836,-11
12837,0
12838,13
12839,8
12840,-7
12841,15
12842,5
12843,5
12844,-1
12845,15
12846,4
12847,-13
12848,-20
12849,6
12850,0
12851,-21
12852,2
12853,16
12854,-7
12855,-13
12856,1
12857,7
12858,-4
12859,0
12860,-4
12861,15
12862,-8
12863,-16
12864,7
12865,19
12866,-4
12867,-4
12868,12
12869,9
12870,-13
12871,-6
12872,9
12873,10
12874,-2
12875,-5
12876,11
12877,12
12878,-19
12879,8
12880,8
12881,-3
12882,-9
12883,13
12884,8
12885,-10
12886,-21
12887,10
12888,11
12889,3
12890,-12
12891,11
12892,3
12893,-15
12894,-16
12895,11
12896,9
12897,-9
12898,1
12899,19
12900,2
12901,-12
12902,3
12903,-12
12904,-11
12905,-2
12906,15
12907,0
12908,0
12909,-2
12910,6
12911,5
12912,-21
12913,3
12914,0
12915,-17
12916,-16
12917,17
12918,4
12919,-9
12920,-17
12921,9
12922,-14
12923,-11
12924,10
12925,14
12926,0
12927,-5
12928,4
12929,12
12930,-4
12931,-8
12932,-5
12933,5
12934,-1
12935,7
12936,12
12937,3
12938,0
12939,-12
12940,15
12941,6
12942,-7
12943,5
12944,8
12945,0
12946,-23
12947,-5
12948,4
12949,3
12950,1
12951,9
12952,6
12953,-13
12954,-9
12955,12
12956,10
12957,-12
12958,-3
12959,10
12960,-5
12961,-9
12962,-4
12963,5
12964,-3
12965,-6
12966,-6
12967,11
12968,1
12969,-20
12970,-3
12971,-1
12972,-5
12973,-9
12974,10
12975,5
12976,-16
12977,-21
12978,11
12979,-7
12980,-5
12981,-6
12982,5
12983,-3
12984,-24
12985,-5
12986,15
12987,-1
12988,-8
12989,-5
12990,12
12991,-8
12992,-26
12993,-8
12994,7
12995,-1
12996,-11
12997,16
12998,1
12999,2
13000,-10
13001,4
13002,0
13003,-2
13004,0
13005,16
13006,-8
13007,-9
13008,-15
13009,11
13010,-11
13011,-15
13012,5
13013,4
13014,0
13015,-21
13016,-12
13017,11
13018,-14
13019,-3
13020,13
13021,6
13022,0
13023,-36
13024,9
13025,3
13026,2
13027,-1
13028,18
13029,-4
13030,-33
13031,1
13032,0
13033,2
13034,-8
13035,0
13036,5
13037,-17
13038,-9
13039,2
13040,5
13041,1
13042,1
13043,8
13044,-13
13045,-20
13046,10
13047,9
13048,-5
13049,-4
13050,12
13051,4
13052,-7
13053,-17
13054,15
13055,-3
13056,0
13057,8
13058,3
13059,4
13060,-21
13061,8
13062,0
13063,-5
13064,-20
13065,13
13066,0
13067,-14
13068,-18
13069,8
13070,13
13071,-4
13072,7
13073,2
13074,-1
13075,-4
13076,-26
13077,-1
13078,0
13079,-6
13080,-4
13081,3
13082,6
13083,-13
13084,-14
13085,13
13086,6
13087,0
13088,0
13089,16
13090,-6
13091,-26
13092,0
13093,10
13094,-10
13095,-19
13096,4
13097,3
13098,-17
13099,-22
13100,8
13101,11
13102,-8
13103,-7
13104,7
13105,-10
13106,-11
13107,-10
13108,5
13109,5
13110,0
13111,8
13112,11
13113,-1
13114,-15
13115,4
13116,0
13117,-14
13118,-20
13119,2
13120,-1
13121,-6
13122,-12
13123,4
13124,2
13125,-11
13126,0
13127,10
13128,1
13129,-7
13130,-6
13131,12
13132,6
13133,-8
13134,-3
13135,5
13136,-12
13137,-29
13138,2
13139,5
13140,-2
13141,-18
13142,22
13143,6
13144,-22
13145,-12
13146,16
13147,3
13148,-9
13149,-3
13150,15
13151,-11
13152,-24
13153,13
13154,7
13155,2
13156,-1
13157,12
13158,0
13159,-29
13160,-1
13161,12
13162,7
13163,-6
13164,-8
13165,15
13166,0
13167,-9
13168,1
13169,25
13170,0
13171,-14
13172,6
13173,12
13174,-13
13175,-13
13176,5
13177,10
13178,-16
13179,4
13180,10
13181,-16
13182,-6
13183,1
13184,5
13185,-3
13186,0
13187,7
13188,17
13189,-20
13190,-31
13191,15
13192,21
13193,0
13194,-13
13195,2
13196,-14
13197,-36
13198,-5
13199,5
13200,10
13201,-8
13202,7
13203,1
13204,5
13205,-14
13206,7
13207,11
13208,-7
13209,-2
13210,15
13211,-1
13212,-13
13213,-10
13214,8
13215,-5
13216,-4
13217,-7
13218,12
13219,-3
13220,-16
13221,7
13222,16
13223,-3
13224,-8
13225,11
13226,8
13227,-20
13228,-2
13229,16
13230,12
13231,-15
13232,-6
13233,6
13234,-9
13235,-10
13236,-6
13237,12
13238,-13
13239,0
13240,9
13241,8
13242,3
13243,-23
13244,8
13245,3
13246,-15
13247,9
13248,11
13249,5
13250,-22
13251,-3
13252,16
13253,2
13254,-8
13255,-12
13256,13
13257,-1
13258,-7
13259,-6
13260,11
13261,5
13262,-10
13263,-4
13264,8
13265,-15
13266,-15
13267,8
13268,-4
13269,-20
13270,-6
13271,12
13272,-4
13273,-23
13274,-2
13275,17
13276,-2
13277,-7
13278,1
13279,5
13280,4
13281,-9
13282,-1
13283,18
13284,-5
13285,-16
13286,4
13287,-4
13288,-23
13289,-17
13290,0
13291,6
13292,-14
13293,-5
13294,24
13295,-10
13296,-12
13297,9
13298,-1
13299,-5
13300,-8
13301,7
13302,11
13303,-13
13304,-5
13305,14
13306,-8
13307,-4
13308,8
13309,19
13310,-14
13311,-9
13312,10
13313,6
13314,-7
13315,0
13316,18
13317,0
13318,-8
13319,-7
13320,1
13321,6
13322,-14
13323,15
13324,14
13325,6
13326,-14
13327,8
13328,7
13329,-14
13330,-16
13331,7
13332,0
13333,-22
13334,-11
13335,0
13336,6
13337,-12
13338,-10
13339,2
13340,18
13341,-38
13342,-4
13343,18
13344,5
13345,-11
13346,-7
13347,12
13348,-3
13349,-29
13350,-10
13351,9
13352,10
13353,3
13354,-2
13355,3
13356,-6
13357,-21
13358,-7
13359,12
13360,-7
13361,-5
13362,1
13363,13
13364,5
13365,-31
13366,9
13367,5
13368,0
13369,-11
13370,14
13371,4
13372,-18
13373,-11
13374,6
13375,5
13376,-9
13377,9
13378,16
13379,-5
13380,-27
13381,6
13382,7
13383,0
13384,-5
13385,19
13386,3
13387,-26
13388,-25
13389,8
13390,-3
13391,2
13392,-6
13393,11
13394,-4
13395,-15
13396,4
13397,22
13398,3
13399,-7
13400,6
13401,4
13402,-2
13403,-24
13404,-9
13405,13
13406,1
13407,-1
13408,0
13409,9
13410,-14
13411,0
13412,17
13413,-2
13414,-5
13415,-17
13416,8
13417,-4
13418,-23
13419,2
13420,8
13421,-6
13422,-7
13423,-3
13424,7
13425,-8
13426,-9
13427,2
13428,0
13429,-14
13430,-10
13431,6
13432,11
13433,1
13434,-17
13435,-9
13436,4
13437,-4
13438,2
13439,5
13440,0
13441,-16
13442,10
13443,10
13444,-5
13445,-5
13446,5
13447,3
13448,-13
13449,-14
13450,15
13451,-4
13452,0
13453,8
13454,18
13455,0
13456,0
13457,3
13458,10
13459,-9
13460,6
13461,7
13462,8
13463,-31
13464,-25
13465,9
13466,3
13467,-9
13468,0
13469,0
13470,-12
13471,-15
13472,-1
