Reg Address,Data
15124,-66
15125,-56
15126,-30
15127,-11
15128,-38
15129,-62
15130,-43
15131,-35
15132,-17
15133,-17
15134,-43
15135,-63
15136,-58
15137,-46
15138,-9
15139,-33
15140,-63
15141,-46
15142,-42
15143,-22
15144,-29
15145,-53
15146,-72
15147,-43
15148,-24
15149,-23
15150,-44
15151,-64
15152,-47
15153,-23
15154,-17
15155,-31
15156,-74
15157,-61
15158,-56
15159,-30
15160,-16
15161,-36
15162,-60
15163,-55
15164,-24
15165,-33
15166,-25
15167,-65
15168,-59
15169,-33
15170,-23
15171,-25
15172,-50
15173,-62
15174,-30
15175,-23
15176,-13
15177,-40
15178,-54
15179,-51
15180,-23
15181,-15
15182,-27
15183,-52
15184,-67
15185,-36
15186,-23
15187,-22
15188,-40
15189,-70
15190,-62
15191,-25
15192,-18
15193,-27
15194,-56
15195,-46
15196,-43
15197,-20
15198,-29
15199,-26
15200,-68
15201,-57
15202,-52
15203,-32
15204,-21
15205,-35
15206,-55
15207,-52
15208,-34
15209,-15
15210,-25
15211,-62
15212,-70
15213,-57
15214,-17
15215,-8
15216,-49
15217,-57
15218,-56
15219,-18
15220,-14
15221,-28
15222,-39
15223,-52
15224,-54
15225,-21
15226,-21
15227,-46
15228,-45
15229,-52
15230,-28
15231,-13
15232,-25
15233,-66
15234,-72
15235,-49
15236,-27
15237,-23
15238,-57
15239,-57
15240,-55
15241,-17
15242,-19
15243,-56
15244,-67
15245,-71
15246,-63
15247,-19
15248,-30
15249,-45
15250,-53
15251,-44
15252,-17
15253,-12
15254,-47
15255,-78
15256,-69
15257,-37
15258,-12
15259,-14
15260,-59
15261,-53
15262,-39
15263,-22
15264,-19
15265,-37
15266,-61
15267,-67
15268,-30
15269,-23
15270,-25
15271,-41
15272,-63
15273,-56
15274,-32
15275,-20
15276,-49
15277,-53
15278,-78
15279,-55
15280,-33
15281,-12
15282,-49
15283,-59
15284,-68
15285,-18
15286,-17
15287,-32
15288,-69
15289,-67
15290,-19
15291,-22
15292,-17
15293,-51
15294,-68
15295,-45
15296,-27
15297,-20
15298,-43
15299,-59
15300,-59
15301,-27
15302,-16
15303,-26
15304,-53
15305,-53
15306,-30
15307,-27
15308,-24
15309,-44
15310,-67
15311,-51
15312,-27
15313,-22
15314,-28
15315,-53
15316,-56
15317,-34
15318,-29
15319,-34
15320,-31
15321,-65
15322,-70
15323,-45
15324,-21
15325,-23
15326,-54
15327,-57
15328,-36
15329,-19
15330,-24
15331,-39
15332,-57
15333,-63
15334,-13
15335,-28
15336,-40
15337,-53
15338,-41
15339,-42
15340,-23
15341,-17
15342,-45
15343,-66
15344,-70
15345,-45
15346,-28
15347,-20
15348,-51
15349,-55
15350,-49
15351,-26
15352,-30
15353,-40
15354,-59
15355,-52
15356,-33
15357,-13
15358,-30
15359,-63
15360,-57
15361,-28
15362,-23
15363,-36
15364,-67
15365,-65
15366,-44
15367,-17
15368,-35
15369,-48
15370,-62
15371,-33
15372,-22
15373,-18
15374,-43
15375,-53
15376,-54
15377,-48
15378,-21
15379,-23
15380,-46
15381,-74
15382,-33
15383,-42
15384,-16
15385,-48
15386,-67
15387,-67
15388,-30
15389,-15
15390,-24
15391,-52
15392,-52
15393,-56
15394,-20
15395,-13
15396,-23
15397,-56
15398,-73
15399,-36
