Reg Address,Data
5908,-50
5909,-33
5910,13
5911,21
5912,17
5913,0
5914,-2
5915,-28
5916,-23
5917,-36
5918,-31
5919,-43
5920,-43
5921,-43
5922,-37
5923,-63
5924,-40
5925,-42
5926,-46
5927,-42
5928,-53
5929,-36
5930,-23
5931,-10
5932,-20
5933,0
5934,16
5935,0
5936,-1
5937,-15
5938,-46
5939,-54
5940,-37
5941,-25
5942,10
5943,19
5944,7
5945,-20
5946,-29
5947,-45
5948,-38
5949,9
5950,9
5951,29
5952,-17
5953,-37
5954,-43
5955,-31
5956,6
5957,8
5958,13
5959,-4
5960,-34
5961,-49
5962,-30
5963,10
5964,13
5965,16
5966,-1
5967,-44
5968,-51
5969,-39
5970,10
5971,32
5972,2
5973,2
5974,-33
5975,-48
5976,-30
5977,5
5978,13
5979,-1
5980,-54
5981,-44
5982,-3
5983,3
5984,-4
5985,-52
5986,-24
5987,17
5988,25
5989,-23
5990,-34
5991,7
5992,14
5993,-7
5994,-41
5995,-32
5996,-2
5997,28
5998,-13
5999,-31
6000,-30
6001,-22
6002,20
6003,-3
6004,-1
6005,-35
6006,-38
6007,-50
6008,-19
6009,3
6010,17
6011,13
6012,-20
6013,-15
6014,-35
6015,-44
6016,-26
6017,-9
6018,-11
6019,7
6020,8
6021,-8
6022,-26
6023,-51
6024,-38
6025,-22
6026,-14
6027,39
6028,25
6029,22
6030,-11
6031,-27
6032,-55
6033,-49
6034,-34
6035,-21
6036,-11
6037,-12
6038,24
6039,10
6040,5
6041,-15
6042,-11
6043,-46
6044,-28
6045,-55
6046,-40
6047,-56
6048,-56
6049,-36
6050,-54
6051,-31
6052,-25
6053,-19
6054,-11
6055,-11
6056,-10
6057,4
6058,-2
6059,10
6060,21
6061,6
6062,-1
6063,7
6064,-22
6065,-15
6066,-54
6067,-31
6068,-27
6069,-9
6070,12
6071,2
6072,12
6073,-7
6074,-27
6075,-41
6076,-36
6077,-9
6078,2
6079,18
6080,-3
6081,-37
6082,-48
6083,-39
6084,-8
6085,16
6086,11
6087,-18
6088,-36
6089,-40
6090,-6
6091,-5
6092,1
6093,-13
6094,-39
6095,-39
6096,-43
6097,-30
6098,18
6099,23
6100,-1
6101,-41
6102,-30
6103,-5
6104,1
6105,33
6106,-18
