Reg Address,Data
3604,7
3605,-22
3606,19
3607,-3
3608,-10
3609,-2
3610,-10
3611,37
3612,-22
3613,9
3614,0
3615,4
3616,-1
3617,-12
3618,9
3619,-18
3620,26
3621,-12
3622,4
3623,-3
3624,3
3625,12
3626,-21
3627,22
3628,-31
3629,14
3630,-24
3631,-1
3632,0
3633,8
3634,8
3635,-14
3636,12
3637,-27
3638,22
3639,-4
3640,11
3641,5
3642,-6
3643,24
3644,-11
3645,19
3646,-14
3647,22
3648,-8
3649,10
3650,4
3651,3
3652,29
3653,-22
3654,8
3655,-16
3656,29
3657,-12
3658,17
3659,5
3660,12
3661,18
3662,-13
3663,20
3664,-23
3665,14
3666,-10
3667,10
3668,-17
3669,6
3670,-3
3671,5
3672,-14
3673,9
3674,5
3675,-16
3676,11
3677,-10
3678,26
3679,-14
3680,14
3681,-7
3682,9
3683,-2
3684,3
3685,11
3686,-8
3687,31
3688,-23
3689,1
3690,-10
3691,17
3692,-11
3693,0
3694,-7
3695,3
3696,7
3697,-11
3698,13
3699,-27
3700,33
3701,-1
3702,0
3703,-6
3704,1
3705,3
3706,-5
3707,15
3708,-21
3709,22
3710,-7
3711,1
3712,1
3713,-12
3714,9
3715,-25
3716,21
3717,-9
3718,17
3719,9
3720,-2
3721,8
3722,-4
3723,24
3724,-3
3725,-9
3726,-15
3727,-4
3728,18
3729,-12
3730,6
3731,-17
3732,10
3733,2
3734,-1
3735,10
3736,-4
3737,24
3738,-15
3739,25
3740,-11
3741,2
3742,11
3743,2
3744,21
3745,-9
3746,23
3747,-26
3748,19
3749,-18
3750,1
3751,12
3752,-6
3753,-5
3754,-11
3755,21
3756,-16
3757,21
3758,-25
3759,3
3760,-3
3761,-11
3762,-12
3763,-28
3764,20
3765,-14
3766,7
3767,1
3768,20
3769,-8
3770,-1
3771,-7
3772,-10
3773,31
3774,-17
3775,18
3776,-20
3777,29
3778,-15
3779,8
3780,5
3781,12
3782,13
3783,-16
3784,19
3785,-19
3786,13
3787,-17
3788,11
3789,-2
3790,8
3791,-6
3792,-8
3793,18
3794,-9
3795,15
3796,-10
3797,5
3798,-9
3799,16
3800,9
3801,-12
3802,13
3803,-28
3804,25
3805,-16
3806,8
3807,-10
3808,3
3809,14
3810,-23
3811,19
3812,-4
3813,35
3814,-17
3815,14
3816,0
3817,3
3818,1
3819,-12
3820,17
3821,-6
3822,21
3823,-11
3824,7
3825,11
3826,9
3827,4
3828,-20
3829,10
3830,-12
3831,9
3832,-15
3833,5
3834,-5
3835,-1
3836,15
3837,-15
3838,27
3839,-14
3840,31
3841,-10
3842,2
3843,6
3844,2
3845,4
3846,-3
3847,16
3848,-16
3849,26
3850,-14
3851,13
3852,-9
3853,2
3854,4
3855,-13
3856,24
3857,-18
3858,21
3859,-1
3860,13
3861,-5
3862,7
3863,8
3864,-11
3865,14
3866,-15
3867,4
3868,-5
3869,7
3870,-10
3871,3
3872,4
3873,-10
3874,-4
3875,-16
3876,20
3877,-5
3878,-12
3879,4
3880,-12
3881,21
3882,-16
3883,8
3884,-17
3885,11
3886,-1
3887,3
3888,3
3889,-1
3890,27
3891,-18
3892,13
3893,-13
3894,26
3895,-14
3896,14
3897,-10
3898,14
3899,6
3900,-12
3901,2
3902,-6
3903,22
3904,-16
3905,21
3906,-12
3907,4
3908,3
3909,-8
3910,10
3911,-16
3912,23
3913,-21
3914,9
3915,-11
3916,14
3917,1
3918,-7
3919,-7
3920,-13
3921,18
3922,-11
3923,8
3924,-15
3925,14
3926,-6
3927,-4
3928,-2
3929,-20
3930,16
3931,-20
3932,8
3933,-12
