Reg Address,Data
3604,9
3605,-19
3606,-10
3607,4
3608,22
3609,6
3610,0
3611,-20
3612,-5
3613,14
3614,31
3615,-3
3616,-8
3617,-25
3618,10
3619,12
3620,22
3621,-21
3622,-20
3623,-16
3624,0
3625,20
3626,27
3627,-14
3628,-14
3629,-13
3630,17
3631,28
3632,23
3633,-9
3634,-16
3635,-17
3636,-14
3637,11
3638,24
3639,9
3640,-23
3641,-28
3642,-7
3643,21
3644,23
3645,6
3646,-9
3647,-18
3648,2
3649,8
3650,21
3651,1
3652,0
3653,-23
3654,-11
3655,13
3656,28
3657,19
3658,-4
3659,-17
3660,-3
3661,11
3662,23
3663,16
3664,-8
3665,-19
3666,-21
3667,3
3668,16
3669,21
3670,2
3671,-26
3672,-22
3673,-10
3674,-6
3675,24
3676,20
3677,-7
3678,-20
3679,-15
3680,14
3681,22
3682,29
3683,18
3684,-16
3685,-25
3686,-14
3687,-3
3688,25
3689,16
3690,-7
3691,-4
3692,-14
3693,1
3694,26
3695,19
3696,3
3697,-19
3698,-19
3699,15
3700,10
3701,20
3702,10
3703,-25
3704,-22
3705,9
3706,24
3707,17
3708,19
3709,-12
3710,-20
3711,-19
3712,15
3713,17
3714,1
3715,-20
3716,-12
3717,-2
3718,30
3719,20
3720,11
3721,-16
3722,-15
3723,-9
3724,0
3725,18
3726,-3
3727,-15
3728,-6
3729,9
3730,37
3731,12
3732,-20
3733,-20
3734,6
3735,26
3736,8
3737,-13
3738,-21
3739,4
3740,27
3741,28
3742,8
3743,-25
3744,-15
3745,10
3746,19
3747,54
3748,252
3749,285
3750,304
3751,296
3752,331
3753,307
3754,284
3755,445
3756,578
3757,589
3758,608
3759,624
3760,607
3761,609
3762,606
3763,819
3764,896
3765,917
3766,915
3767,929
3768,910
3769,921
3770,937
3771,1159
3772,1212
3773,1210
3774,1201
3775,1223
3776,1207
3777,1211
3778,1340
3779,1487
3780,1533
3781,1517
3782,1517
3783,1515
3784,1539
3785,1514
3786,1732
3787,1811
3788,1825
3789,1807
3790,1824
3791,1818
3792,1808
3793,1850
3794,2064
3795,2127
3796,2126
3797,2147
3798,2135
3799,2132
3800,2137
3801,2259
3802,2396
3803,2433
3804,2457
3805,2433
3806,2425
3807,2442
3808,2432
3809,2642
3810,2732
3811,2724
3812,2737
3813,2741
3814,2749
3815,2737
3816,2774
3817,2994
3818,3030
3819,3038
3820,3043
3821,3064
3822,3064
3823,3045
3824,3160
3825,3303
3826,3348
3827,3344
3828,3339
3829,3344
3830,3345
3831,3355
3832,3548
3833,3636
3834,3647
3835,3658
3836,3661
3837,3660
3838,3643
3839,3672
3840,3895
3841,3960
3842,3940
3843,3950
3844,3952
3845,3954
3846,3957
3847,4070
3848,4226
3849,4240
3850,4251
3851,4258
3852,4269
3853,4263
3854,4280
3855,4464
3856,4543
3857,4541
3858,4556
3859,4561
3860,4564
3861,4567
3862,4576
3863,4820
3864,4836
3865,4866
3866,4866
3867,4870
3868,4864
3869,4880
3870,4986
3871,5141
3872,5146
3873,5167
3874,5186
3875,5161
3876,5174
3877,5181
3878,1638
3879,280
3880,65
3881,7
3882,14
3883,5
3884,12
3885,-6
3886,-25
3887,-16
3888,-16
3889,12
3890,28
3891,15
3892,9
3893,-19
3894,-21
3895,-5
3896,6
3897,18
3898,10
3899,16
3900,-1
3901,-15
3902,-5
3903,23
3904,23
3905,24
3906,7
3907,-17
3908,-26
3909,7
3910,3
3911,25
3912,20
3913,4
3914,-13
3915,0
3916,19
3917,6
3918,15
3919,-7
3920,-26
3921,-7
3922,-6
3923,8
3924,26
3925,1
3926,-7
3927,-10
3928,-19
3929,4
3930,12
3931,11
3932,17
3933,-5
3934,-19
3935,-35
3936,-5
3937,10
3938,37
3939,14
3940,19
3941,-13
3942,-15
3943,-14
3944,3
3945,22
3946,29
3947,0
3948,-12
