Reg Address,Data
8212,-17
8213,-20
8214,-18
8215,-18
8216,-17
8217,-18
8218,-18
8219,-19
8220,-15
8221,-17
8222,-19
8223,-19
8224,-17
8225,-18
8226,-18
8227,-19
8228,-17
8229,-18
8230,-18
8231,-17
8232,-17
8233,-17
8234,-21
8235,-18
8236,-20
8237,-19
8238,-19
8239,-19
8240,-18
8241,-18
8242,-18
8243,-17
8244,-18
8245,-19
8246,-19
8247,-18
8248,-19
8249,-20
8250,-18
8251,-18
8252,-19
8253,-18
8254,-19
8255,-19
8256,-18
8257,-18
8258,-18
8259,-17
8260,-17
8261,-17
8262,-18
8263,-18
8264,-18
8265,-18
8266,-17
8267,-18
8268,-19
8269,-18
8270,-16
8271,-17
8272,-20
8273,-18
8274,-19
8275,-18
8276,-18
8277,-19
8278,-19
8279,-20
8280,-18
8281,-17
8282,-18
8283,-18
8284,-17
8285,-17
8286,-18
8287,-18
8288,-19
8289,-17
8290,-18
8291,-19
8292,-17
8293,-18
8294,-17
8295,-20
8296,-18
8297,-17
8298,-16
8299,-18
8300,-18
8301,-17
8302,-19
8303,-18
8304,-19
8305,-17
8306,-18
8307,-18
8308,-18
8309,-19
8310,-17
8311,-18
8312,-19
8313,-20
8314,-17
8315,-18
8316,-18
8317,-18
8318,-18
8319,-19
8320,-19
8321,-18
8322,-17
8323,-19
8324,-17
8325,-17
8326,-19
8327,-18
8328,-18
8329,-19
8330,-18
8331,-19
8332,-17
8333,-17
8334,-18
8335,-19
8336,-19
8337,-18
8338,-18
8339,-17
8340,-18
8341,-18
8342,-18
8343,-19
8344,-18
8345,-17
8346,-18
8347,-18
8348,-18
8349,-18
8350,-18
8351,-18
8352,-18
8353,-16
8354,-18
8355,-19
8356,-19
8357,-19
8358,-19
8359,-18
8360,-19
8361,-18
8362,-20
8363,-18
8364,-19
8365,-17
8366,-17
8367,-18
8368,-18
8369,-18
8370,-18
8371,-18
8372,-18
8373,-19
8374,-18
8375,-17
8376,-17
8377,-18
8378,-18
8379,-19
8380,-18
8381,-17
8382,-17
8383,-18
8384,-20
8385,-18
8386,-18
8387,-17
8388,-20
8389,-18
8390,-18
8391,-16
8392,-18
8393,-16
8394,-18
8395,-15
8396,-18
8397,-18
8398,-18
8399,-18
8400,-18
8401,-19
8402,-17
8403,-18
8404,-18
8405,-18
8406,-18
8407,-17
8408,-20
8409,-19
8410,-18
8411,-18
8412,-18
8413,-18
8414,-17
8415,-19
8416,-18
8417,-17
8418,-19
8419,-19
8420,-19
8421,-19
8422,-19
8423,-17
8424,-19
8425,-16
8426,-17
8427,-19
8428,-19
8429,-17
8430,-19
8431,-19
8432,-18
8433,-17
8434,-19
8435,-17
8436,-20
8437,-18
8438,-17
8439,-17
8440,-18
8441,-18
8442,-18
8443,-18
8444,-17
8445,-19
8446,-18
8447,-19
8448,-17
8449,-17
8450,-18
8451,-17
8452,-18
8453,-19
8454,-18
8455,-18
8456,-17
8457,-18
8458,-18
8459,-19
8460,-19
8461,-18
8462,-19
8463,-18
8464,-18
8465,-17
8466,-18
8467,-18
8468,-17
8469,-17
8470,-19
8471,-17
8472,-19
8473,-18
8474,-17
8475,-18
8476,-17
8477,-18
8478,-18
8479,-18
8480,-18
8481,-18
8482,-18
8483,-19
8484,-18
8485,-17
8486,-16
8487,-16
8488,-18
8489,-17
8490,-17
8491,-17
8492,-18
8493,-18
8494,-16
8495,-18
8496,-16
8497,-17
8498,-16
8499,-18
8500,-19
8501,-19
8502,-19
8503,-18
8504,-19
8505,-18
8506,-17
8507,-17
8508,-16
8509,-18
8510,-19
8511,-17
8512,-17
8513,-19
8514,-18
8515,-17
8516,-18
8517,-17
8518,-20
8519,-19
8520,-19
8521,-17
8522,-18
8523,-18
8524,-17
8525,-18
8526,-19
8527,-17
8528,-17
8529,-17
8530,-18
8531,-19
8532,-19
8533,-17
8534,-19
8535,-18
8536,-18
8537,-19
8538,-19
8539,-17
8540,-19
8541,-18
8542,-18
8543,-18
8544,-19
8545,-19
8546,-18
8547,-19
8548,-18
8549,-18
8550,-18
8551,-18
8552,-18
8553,-17
8554,-18
8555,-19
8556,-18
8557,-18
8558,-18
8559,-19
8560,-18
8561,-19
8562,-20
8563,-18
8564,-18
8565,-19
8566,-19
8567,-17
8568,-18
8569,-18
8570,-18
8571,-18
8572,-18
8573,-19
8574,-18
8575,-19
8576,-19
8577,-20
8578,-18
8579,-18
8580,-20
8581,-19
8582,-19
8583,-18
8584,-19
8585,-18
8586,-19
8587,-19
8588,-18
8589,-19
8590,-18
8591,-17
8592,-19
8593,-18
8594,-19
8595,-19
8596,-19
8597,-19
8598,-17
8599,-18
8600,-19
8601,-18
8602,-17
8603,-18
8604,-16
8605,-18
8606,-17
8607,-18
8608,-17
8609,-20
8610,-17
8611,-17
8612,-18
8613,-18
8614,-18
8615,-18
8616,-18
8617,-18
8618,-19
8619,-17
8620,-19
8621,-19
8622,-19
8623,-19
8624,-16
8625,-18
8626,-18
8627,-18
8628,-20
8629,-18
8630,-20
8631,-17
8632,-17
8633,-18
8634,-19
8635,-18
8636,-18
8637,-19
8638,-19
8639,-18
8640,-18
8641,-19
8642,-19
8643,-18
8644,-17
8645,-19
8646,-17
8647,-19
8648,-18
8649,-17
8650,-18
8651,-19
8652,-17
8653,-19
8654,-19
8655,-18
8656,-18
8657,-19
8658,-18
8659,-17
8660,-19
8661,-18
8662,-18
8663,-20
8664,-17
8665,-18
8666,-19
8667,-18
8668,-18
8669,-18
8670,-19
8671,-19
8672,-18
8673,-18
8674,-18
8675,-17
8676,-17
8677,-18
8678,-18
8679,-18
8680,-17
8681,-19
8682,-18
8683,-18
8684,-18
8685,-16
8686,-18
8687,-17
8688,-18
8689,-16
8690,-16
8691,-20
8692,-17
8693,-16
8694,-18
8695,-17
8696,-18
8697,-19
8698,-18
8699,-18
8700,-18
8701,-18
8702,-18
8703,-18
8704,-18
8705,-18
8706,-18
8707,-17
8708,-19
8709,-16
8710,-18
8711,-17
8712,-17
8713,-19
8714,-17
8715,-19
8716,-18
8717,-19
8718,-19
8719,-19
8720,-17
8721,-16
8722,-19
8723,-17
8724,-18
8725,-18
8726,-20
8727,-17
8728,-18
8729,-18
8730,-18
8731,-18
8732,-18
8733,-20
8734,-19
8735,-18
8736,-18
8737,-19
8738,-18
8739,-16
8740,-18
8741,-19
8742,-17
8743,-20
8744,-18
8745,-18
8746,-18
8747,-18
8748,-18
8749,-18
8750,-17
8751,-17
8752,-19
8753,-18
8754,-18
8755,-18
8756,-16
8757,-17
8758,-18
8759,-17
8760,-18
8761,-18
8762,-19
8763,-18
8764,-19
8765,-19
8766,-19
8767,-17
8768,-17
8769,-19
8770,-17
8771,-18
8772,-17
8773,-17
8774,-17
8775,-17
8776,-18
8777,-18
8778,-18
8779,-19
8780,-18
8781,-17
8782,-20
8783,-19
8784,-18
8785,-18
8786,-19
8787,-16
8788,-18
8789,-19
8790,-18
8791,-17
8792,-19
8793,-19
8794,-18
8795,-19
8796,-18
8797,-18
8798,-19
8799,-17
8800,-18
8801,-17
8802,-18
8803,-17
8804,-18
8805,-17
8806,-18
8807,-19
8808,-18
8809,-18
8810,-18
8811,-18
8812,-18
8813,-18
8814,-19
8815,-18
8816,-19
8817,-18
8818,-19
8819,-18
8820,-17
8821,-18
8822,-18
8823,-19
8824,-18
8825,-19
8826,-18
8827,-18
8828,-18
8829,-19
8830,-17
8831,-19
8832,-18
8833,-17
8834,-18
8835,-18
8836,-19
8837,-18
8838,-18
8839,-18
8840,-17
8841,-17
8842,-18
8843,-17
8844,-18
8845,-18
8846,-18
8847,-17
8848,-17
8849,-17
8850,-18
8851,-18
8852,-19
8853,-17
8854,-17
8855,-18
8856,-20
8857,-18
8858,-18
8859,-18
8860,-17
8861,-17
8862,-19
8863,-18
8864,-19
8865,-18
8866,-18
8867,-18
8868,-17
8869,-19
8870,-18
8871,-17
8872,-18
8873,-18
8874,-17
8875,-18
8876,-18
8877,-17
8878,-18
8879,-18
8880,-18
8881,-18
8882,-17
8883,-18
8884,-18
8885,-17
8886,-18
8887,-18
8888,-18
8889,-19
8890,-17
8891,-18
8892,-18
8893,-18
8894,-18
8895,-17
8896,-19
8897,-19
8898,-18
8899,-19
8900,-18
8901,-18
8902,-18
8903,-18
8904,-18
8905,-17
8906,-18
8907,-18
8908,-19
8909,-17
8910,-18
8911,-19
8912,-18
8913,-18
8914,-19
8915,-18
8916,-19
8917,-18
8918,-18
8919,-18
8920,-18
8921,-20
8922,-18
8923,-18
8924,-18
8925,-18
8926,-16
8927,-17
8928,-19
8929,-19
8930,-18
8931,-17
8932,-18
8933,-18
8934,-18
8935,-18
8936,-18
8937,-19
8938,-18
8939,-19
8940,-18
8941,-18
8942,-18
8943,-17
8944,-17
8945,-18
8946,-19
8947,-19
8948,-18
8949,-18
8950,-18
8951,-18
8952,-20
8953,-19
8954,-19
8955,-17
8956,-18
8957,-19
8958,-18
8959,-19
8960,-18
8961,-18
8962,-19
8963,-17
8964,-18
8965,-17
8966,-17
8967,-18
8968,-17
8969,-19
8970,-18
8971,-17
8972,-18
8973,-18
8974,-19
8975,-18
8976,-18
8977,-19
8978,-17
8979,-17
8980,-18
8981,-17
8982,-17
8983,-17
8984,-18
8985,-19
8986,-19
8987,-19
8988,-18
8989,-17
8990,-18
8991,-17
8992,-18
8993,-16
8994,-18
8995,-17
8996,-18
8997,-18
8998,-18
8999,-19
9000,-18
9001,-19
9002,-18
9003,-18
9004,-18
9005,-18
9006,-19
9007,-18
9008,-17
9009,-19
9010,-18
9011,-17
9012,-19
9013,-16
9014,-20
9015,-17
9016,-17
9017,-17
9018,-18
9019,-18
9020,-19
9021,-18
9022,-17
9023,-18
9024,-17
9025,-17
9026,-18
9027,-18
9028,-18
9029,-18
9030,-18
9031,-19
9032,-18
9033,-19
9034,-19
9035,-17
9036,-18
9037,-18
9038,-18
9039,-18
9040,-18
9041,-18
9042,-19
9043,-18
9044,-19
9045,-18
9046,-19
9047,-18
9048,-19
9049,-18
9050,-17
9051,-16
9052,-19
9053,-17
9054,-17
9055,-18
9056,-19
9057,-17
9058,-17
9059,-18
9060,-19
9061,-18
9062,-17
9063,-15
9064,-19
9065,-19
9066,-19
9067,-18
9068,-18
9069,-18
9070,-19
9071,-19
9072,-18
9073,-17
9074,-18
9075,-19
9076,-18
9077,-18
9078,-18
9079,-19
9080,-18
9081,-18
9082,-20
9083,-19
9084,-16
9085,-16
9086,-19
9087,-18
9088,-16
9089,-18
9090,-17
9091,-18
9092,-17
9093,-19
9094,-17
9095,-18
9096,-17
9097,-17
9098,-18
9099,-17
9100,-17
9101,-19
9102,-18
9103,-16
9104,-20
9105,-19
9106,-18
9107,-17
9108,-17
9109,-18
9110,-17
9111,-19
9112,-19
9113,-20
9114,-17
9115,-18
9116,-19
9117,-18
9118,-16
9119,-19
9120,-19
9121,-17
9122,-18
9123,-17
9124,-18
9125,-17
9126,-19
9127,-19
9128,-17
9129,-18
9130,-18
9131,-19
9132,-19
9133,-17
9134,-19
9135,-17
9136,-18
9137,-18
9138,-19
9139,-18
9140,-18
9141,-18
9142,-17
9143,-18
9144,-19
9145,-18
9146,-18
9147,-19
9148,-18
9149,-17
9150,-19
9151,-20
9152,-17
9153,-20
9154,-19
9155,-18
9156,-18
9157,-18
9158,-18
9159,-20
9160,-19
9161,-18
9162,-19
9163,-18
9164,-17
9165,-19
9166,-18
9167,-19
9168,-19
9169,-18
9170,-18
9171,-18
9172,-18
9173,-18
9174,-18
9175,-18
9176,-18
9177,-19
9178,-18
9179,-18
9180,-19
9181,-19
9182,-19
9183,-18
9184,-17
9185,-18
9186,-18
9187,-17
9188,-19
9189,-19
9190,-17
9191,-17
9192,-17
9193,-19
9194,-18
9195,-19
9196,-19
9197,-19
9198,-18
9199,-17
9200,-18
9201,-19
9202,-19
9203,-17
9204,-18
9205,-20
9206,-19
9207,-18
9208,-16
9209,-18
9210,-17
9211,-17
9212,-19
9213,-17
9214,-17
9215,-17
9216,-18
9217,-17
9218,-19
9219,-17
9220,-19
9221,-18
9222,-18
9223,-19
9224,-16
9225,-18
9226,-19
9227,-17
9228,-17
9229,-18
9230,-18
9231,-17
9232,-18
9233,-18
9234,-18
9235,-18
9236,-17
9237,-15
9238,-18
9239,-18
9240,-17
9241,-18
9242,-19
9243,-18
9244,-18
9245,-18
9246,-17
9247,-17
9248,-19
9249,-18
9250,-20
9251,-20
9252,-17
9253,-19
9254,-19
9255,-17
9256,-19
9257,-18
9258,-18
9259,-17
9260,-19
9261,-18
9262,-19
9263,-17
9264,-17
9265,-18
9266,-18
9267,-18
9268,-17
9269,-18
9270,-17
9271,-19
9272,-18
9273,-17
9274,-20
9275,-19
9276,-19
9277,-18
9278,-17
9279,-19
9280,-17
9281,-18
9282,-18
9283,-18
9284,-19
9285,-19
9286,-17
9287,-18
9288,-18
9289,-19
9290,-18
9291,-17
9292,-18
9293,-18
9294,-19
9295,-17
9296,-19
9297,-17
9298,-19
9299,-16
9300,-19
