Trip1,Trip2,Close,PhaseA,PhaseB,PhaseC,Contact
45,-18,-4,-293,5501,265,1
37,-30,-9,-283,7239,287,1
21,-42,-11,-281,8960,299,1
2,-47,-17,-280,10629,309,1
-22,-40,-20,-281,12289,314,1
-49,-35,-19,-283,13921,324,1
-68,-29,-17,-277,15511,328,1
-46,-29,-12,-267,17086,322,1
-28,-31,-10,-250,18637,307,1
-10,-29,-9,-232,20143,288,1
2,-26,-15,-214,21596,279,1
8,-18,-25,-195,23008,287,1
5,-3,-40,-178,24366,309,1
0,8,-63,-156,25709,331,1
-2,15,-57,-136,26964,342,1
-1,12,-40,-120,28165,338,1
0,0,-23,-109,29317,323,1
-7,-16,-16,-93,30378,307,1
-14,-34,-11,-73,31397,298,1
-18,-47,-9,-52,32326,302,1
-20,-29,-7,-33,32767,314,1
-22,-14,-2,-18,32767,319,1
-30,-3,3,-5,32767,317,1
-37,9,9,13,32767,305,1
-42,21,11,42,32767,291,1
-50,27,12,74,32767,282,1
-62,27,15,98,32767,279,1
-64,26,22,102,32767,281,1
-47,19,23,90,32767,282,1
-30,14,26,74,32767,278,1
-9,6,22,73,32767,262,1
8,-6,8,95,32767,232,1
21,-19,-19,127,32767,207,1
20,-38,-58,155,32767,189,1
10,-42,-49,171,32767,174,1
0,-23,-18,180,32767,160,1
-9,-9,5,191,32767,143,1
-13,-4,16,207,32767,128,1
-12,-9,21,226,32767,114,1
-1,-16,22,238,32767,102,1
11,-28,21,246,32112,89,1
19,-41,15,254,31184,73,1
20,-47,4,259,30154,54,1
18,-39,-1,273,29078,34,1
19,-30,-5,293,27903,11,1
20,-24,-6,319,26685,-11,1
25,-22,-11,338,25398,-39,1
35,-21,-13,352,24061,-60,1
46,-18,-21,348,22640,-72,1
56,-11,-22,335,21141,-68,1
67,-2,-19,315,19615,-58,1
72,9,-13,302,18003,-50,1
75,18,-6,296,16390,-60,1
76,23,-2,297,14680,-88,1
75,23,-4,307,12962,-125,1
68,14,-6,312,11183,-156,1
47,2,-3,321,9394,-177,1
28,-14,7,325,7567,-188,1
18,-38,16,326,5725,-196,1
15,-43,17,318,3867,-205,1
17,-37,14,303,2002,-218,1
20,-40,3,288,125,-232,1
27,-44,-5,278,-1729,-250,1
33,-47,-14,279,-3551,-264,1
32,-50,-24,281,-5335,-279,1
28,-48,-28,284,-7088,-293,1
24,-45,-29,280,-8810,-310,1
20,-43,-28,272,-10512,-326,1
15,-43,-28,269,-12175,-339,1
19,-46,-34,275,-13833,-345,1
27,-47,-40,280,-15442,-336,1
40,-50,-47,276,-17036,-322,1
51,-49,-51,255,-18578,-304,1
56,-48,-57,224,-20101,-297,1
62,-45,-61,192,-21559,-299,1
62,-37,-60,174,-23001,-308,1
57,-35,-56,164,-24363,-320,1
50,-31,-43,159,-25688,-330,1
40,-29,-32,150,-26958,-334,1
26,-30,-17,131,-28162,-335,1
16,-31,-1,109,-29314,-326,1
8,-33,11,83,-30384,-314,1
-3,-33,18,62,-31375,-304,1
-16,-27,17,51,-32333,-301,1
-21,-21,16,42,-32768,-303,1
-31,-13,12,27,-32768,-312,1
-43,-6,14,6,-32768,-314,1
-61,5,16,-17,-32768,-309,1
-63,13,24,-43,-32768,-293,1
-45,21,40,-64,-32768,-275,1
-29,26,54,-75,-32768,-260,1
-19,29,64,-77,-32768,-258,1
-13,28,69,-73,-32768,-263,1
-6,25,70,-75,-32768,-263,1
-2,21,68,-83,-32768,-252,1
0,10,65,-98,-32768,-229,1
5,-9,54,-117,-32768,-201,1
9,-28,43,-134,-32768,-177,1
9,-48,28,-150,-32768,-158,1
2,-41,16,-168,-32768,-148,1
-5,-35,8,-186,-32768,-139,1
