Trip1,Trip2,Close,PhaseA,PhaseB,PhaseC,Contact
-42,93,-104,-1,2,0,1
-41,88,-75,0,3,0,1
-44,85,-54,-1,2,0,1
-43,77,-33,0,1,0,1
-35,76,-9,0,3,0,1
-27,76,17,0,2,1,1
-18,77,46,-1,1,-1,1
-15,75,75,0,4,0,1
-10,63,95,-1,2,1,1
-9,49,104,-1,2,0,1
-8,42,97,0,3,0,1
-6,35,87,0,2,0,1
-8,20,73,0,3,1,1
-9,6,61,-1,4,2,1
-5,-17,55,-1,4,2,1
0,-37,52,-1,2,0,1
8,-55,60,-1,2,1,1
14,-70,67,0,3,0,1
20,-81,68,-1,3,1,1
24,-83,68,0,4,0,1
28,-80,66,0,2,2,1
32,-74,59,0,3,1,1
37,-65,55,0,3,2,1
45,-57,57,-1,2,0,1
55,-51,60,0,2,0,1
65,-43,61,0,3,2,1
76,-38,60,-1,2,0,1
88,-32,63,-1,1,0,1
94,-31,64,0,2,0,1
98,-38,71,-1,3,0,1
98,-54,82,0,2,1,1
95,-74,94,-2,3,2,1
89,-79,97,-1,3,2,1
78,-61,95,0,2,1,1
67,-49,89,0,2,0,1
51,-40,80,-1,1,2,1
34,-37,69,0,1,0,1
20,-39,59,0,1,1,1
0,-41,41,0,0,1,1
-23,-39,21,0,1,0,1
-56,-36,0,-1,0,1,1
-90,-28,-22,-1,0,1,1
-112,-19,-43,0,1,0,1
-124,-11,-55,0,1,0,1
-118,-7,-67,-1,1,0,1
-112,-9,-72,0,0,1,1
-115,-8,-74,-1,0,0,1
-127,-13,-76,0,0,1,1
-113,-19,-75,-1,0,0,1
-100,-23,-72,0,0,0,1
-87,-25,-67,0,-1,1,1
-72,-23,-62,0,-1,1,1
-51,-19,-54,0,-1,1,1
-34,-11,-50,0,-3,0,1
-16,-6,-51,0,-1,0,1
4,-4,-58,0,-2,0,1
20,-6,-60,0,-1,0,1
30,-2,-60,0,-2,0,1
35,-2,-57,-1,-2,0,1
33,-8,-50,0,-3,0,1
30,-14,-47,0,-4,0,1
29,-19,-47,0,-3,0,1
32,-23,-47,0,-2,0,1
37,-22,-49,0,-3,0,1
42,-21,-50,0,-3,0,1
49,-18,-55,2,-3,-1,1
62,-7,-59,0,-4,0,1
74,10,-62,-1,-3,0,1
91,30,-63,0,-3,-2,1
106,44,-60,-1,-2,-1,1
116,58,-55,0,-1,0,1
118,72,-48,0,-2,0,1
114,84,-38,0,-3,0,1
106,91,-31,0,-4,-1,1
91,93,-24,0,-2,-2,1
86,89,-14,2,-4,-1,1
90,80,-8,2,-2,-1,1
92,73,0,0,-4,0,1
90,65,7,0,-2,0,1
89,58,16,0,-3,0,1
88,52,28,0,-3,0,1
85,49,39,0,-3,-1,1
82,45,51,0,-2,0,1
79,36,61,0,-4,-1,1
75,29,71,0,-2,-2,1
69,22,73,0,-2,0,1
60,16,68,0,-3,-2,1
56,9,60,2,-1,0,1
52,4,48,0,-3,-2,1
55,-1,36,2,-2,0,1
56,-1,26,2,-3,-1,1
52,-2,21,0,-2,0,1
46,-3,21,0,-2,-1,1
35,-4,24,0,-2,-1,1
25,0,28,0,-1,0,1
14,5,31,2,-2,-1,1
5,11,31,0,-1,0,1
-4,15,25,0,-1,0,1
-18,16,19,2,-1,0,1
-36,17,14,0,-1,0,1
-52,19,11,0,0,0,1
-68,25,6,0,-1,1,1
-71,29,0,0,0,0,1
-73,32,0,0,2,0,1
-73,35,-2,2,-1,-2,1
-73,37,-6,0,0,0,1
-71,33,-8,0,1,-1,1
-67,25,-8,0,0,0,1
-64,10,-9,0,0,0,1
-59,-4,-8,0,-1,0,1
-55,-20,-4,0,0,0,1
-50,-27,-2,0,-1,0,1
-45,-29,-3,0,1,0,1
-42,-28,-6,-1,1,0,1
-40,-28,-12,0,1,0,1
-45,-35,-21,0,1,0,1
-55,-42,-34,0,1,0,1
-73,-51,-53,0,1,-1,1
-87,-54,-65,0,2,0,1
-95,-54,-74,-1,1,0,1
-97,-44,-81,0,1,0,1
-97,-29,-88,-1,2,0,1
-101,-14,-94,0,1,0,1
-105,-6,-102,-1,1,-1,1
-111,-6,-101,-2,4,0,1
-113,-8,-94,-1,3,0,1
-108,-9,-81,0,3,0,1
-96,-7,-69,-1,2,0,1
-78,-6,-56,-1,3,0,1
-56,-6,-50,-1,2,0,1
-35,-6,-47,0,3,1,1
-13,-8,-48,0,2,1,1
8,-7,-54,-1,3,0,1
33,-8,-53,0,3,1,1
59,-7,-56,-2,2,1,1
79,-3,-54,-2,3,0,1
91,1,-46,0,4,0,1
100,14,-34,-2,2,0,1
103,27,-16,0,1,0,1
102,34,1,-3,4,1,1
99,36,25,-1,4,0,1
90,33,52,0,1,0,1
76,27,81,-1,4,0,1
62,12,106,-2,2,1,1
51,0,127,-1,3,0,1
51,-6,136,-2,2,0,1
54,-7,138,-1,4,0,1
59,-6,135,-1,4,1,1
64,-3,125,-2,2,0,1
64,0,115,-1,3,1,1
62,0,105,-1,3,1,1
58,-1,97,0,4,1,1
49,-1,86,0,4,1,1
31,0,78,-1,2,0,1
10,6,70,-1,3,1,1
-11,13,60,0,2,1,1
-32,24,53,0,2,0,1
-47,34,47,-1,1,2,1
-54,42,41,0,2,1,1
-53,46,34,-2,2,1,1
-44,44,27,0,2,2,1
-37,42,19,0,2,2,1
-29,45,17,-1,2,1,1
-24,46,11,2,0,0,1
-21,46,11,-1,1,1,1
-12,43,15,-1,-1,0,1
0,37,20,-1,0,1,1
15,29,22,0,1,1,1
34,22,21,-1,1,1,1
57,15,17,0,0,0,1
80,4,14,0,0,1,1
96,-11,7,-1,1,-1,1
102,-29,-3,0,1,0,1
111,-45,-15,0,0,0,1
113,-61,-27,-1,0,0,1
112,-69,-38,-1,2,1,1
107,-70,-52,0,0,1,1
100,-64,-58,-2,0,0,1
89,-49,-61,0,-1,0,1
78,-29,-71,0,0,0,1
73,-5,-85,-1,-1,0,1
67,15,-97,0,-2,-1,1
63,27,-110,0,-2,0,1
61,27,-122,0,-2,0,1
59,20,-135,0,-2,0,1
62,12,-146,0,-3,0,1
71,12,-155,0,-3,0,1
76,15,-164,0,-3,-1,1
79,18,-159,0,-2,0,1
80,17,-161,0,-4,0,1
80,10,-165,0,-2,0,1
78,1,-156,-1,-3,0,1
76,-6,-147,0,-3,0,1
66,-16,-146,0,-3,0,1
58,-28,-147,0,-4,0,1
45,-37,-145,0,-3,-1,1
30,-41,-137,0,-4,0,1
15,-42,-124,0,-3,0,1
5,-41,-101,-1,-3,0,1
-8,-40,-75,0,-2,-1,1
-17,-35,-47,0,-2,0,1
-20,-29,-14,0,-2,-1,1
-23,-24,18,0,-4,0,1
-28,-20,50,-1,-4,-1,1
-33,-20,78,0,-3,-1,1
-30,-18,104,0,-2,0,1
-24,-21,132,0,-2,-1,1
-16,-25,154,0,-3,0,1
-7,-29,172,0,-3,-1,1
0,-30,188,2,-3,-1,1
6,-29,198,0,-2,0,1
12,-30,200,0,-3,-1,1
11,-33,194,2,-3,-1,1
8,-33,184,0,-1,0,1
9,-28,168,0,-2,0,1
11,-22,146,2,-3,0,1
18,-14,125,0,-2,0,1
27,-9,106,0,-2,-1,1
33,-8,84,0,-3,0,1
41,-3,60,2,-1,0,1
49,-1,34,0,-2,-1,1
52,-2,16,0,-2,-1,1
49,-2,6,0,-2,-1,1
41,-2,-1,0,-2,-1,1
30,-7,-9,0,-2,0,1
13,-19,-17,2,-2,0,1
0,-25,-25,0,-2,0,1
-10,-33,-33,2,0,0,1
-23,-43,-43,0,-1,0,1
-32,-57,-50,0,-1,0,1
-35,-72,-57,2,0,0,1
-33,-85,-61,0,0,0,1
-25,-77,-64,0,1,0,1
-13,-69,-66,0,1,0,1
-3,-67,-72,0,0,-1,1
13,-81,-80,0,0,0,1
31,-70,-91,0,-1,-1,1
50,-47,-102,0,1,0,1
68,-23,-110,-1,0,0,1
83,2,-118,0,1,0,1
89,28,-131,-1,1,0,1
89,42,-144,-2,0,0,1
85,47,-157,-1,0,0,1
77,50,-165,-1,1,1,1
72,47,-161,0,0,1,1
62,39,-163,0,2,0,1
42,33,-161,0,1,-1,1
15,26,-147,0,2,0,1
-9,26,-128,-1,2,0,1
-29,28,-111,-1,2,0,1
-46,27,-92,-1,0,-1,1
-52,24,-70,0,2,1,1
-59,14,-50,0,3,0,1
-73,8,-31,-1,3,0,1
-88,4,-22,0,3,0,1
-97,-2,-15,0,1,-1,1
-97,-8,-10,-1,1,0,1
-95,-17,-5,0,3,0,1
-90,-28,1,-1,2,1,1
-86,-40,6,-1,3,0,1
-84,-43,13,-1,2,0,1
-90,-44,8,0,2,0,1
-101,-47,0,-1,2,-2,1
-110,-48,-12,0,2,0,1
-117,-54,-28,0,3,0,1
-121,-60,-44,-1,2,0,1
-127,-68,-54,0,3,0,1
-121,-77,-58,-1,4,0,1
-113,-79,-58,0,4,0,1
-106,-62,-60,0,3,0,1
-101,-48,-56,-1,3,0,1
-100,-41,-52,0,3,0,1
-106,-37,-42,-2,2,0,1
-112,-36,-32,-1,3,1,1
-120,-36,-23,-1,3,1,1
-125,-36,-14,0,3,2,1
-114,-36,-3,0,3,2,1
-110,-37,8,-1,3,1,1
-108,-42,18,0,2,0,1
-105,-51,20,0,4,0,1
-102,-57,17,0,2,1,1
-100,-66,17,0,2,1,1
-91,-82,20,-1,2,1,1
-77,-72,29,-1,1,2,1
-59,-44,44,0,2,1,1
-43,-9,58,-2,2,0,1
-30,22,67,0,2,0,1
-23,52,77,0,1,1,1
