Trip1,Trip2,Close,PhaseA,PhaseB,PhaseC,Contact
0,2161,2224,2048,270,0,-2
-32768,2152,2231,2035,257,-14,-33
4608,2150,2230,2060,260,-6,-2
95,122,-41,-36,-25,-2,-18
84,142,-70,-30,-1,0,-2
82,120,-38,-23,29,0,-32
82,117,-93,-16,2,24,0
80,139,-82,-14,-19,32,0
59,129,-44,-22,13,40,0
42,138,-87,-27,-4,23,0
78,137,-94,-12,-4,39,0
81,164,-98,-24,-12,26,0
90,147,-73,-21,11,37,0
112,160,-97,-15,-1,17,0
106,154,-110,-21,-7,11,0
103,169,-74,-26,-6,3,0
100,167,-75,-32,13,-5,0
106,147,-43,-40,-14,-3,0
82,167,-58,-24,-5,23,0
85,151,-81,-46,-4,38,0
101,158,-69,-49,19,43,0
82,165,-65,-45,13,39,0
72,156,-97,-50,5,29,0
73,152,-75,-52,-13,12,0
74,160,-120,-52,-3,0,0
63,138,-74,-44,13,3,0
64,126,-60,-26,7,17,0
75,127,-90,-31,-8,47,0
91,137,-87,-25,-26,30,0
81,130,-97,-24,-3,40,0
73,129,-79,-14,3,6,0
60,115,-81,-27,13,8,0
60,121,-61,-27,-5,5,0
72,129,-84,-32,11,10,0
77,135,-71,-28,18,34,0
80,145,-83,-36,-15,27,0
80,152,-116,-35,-9,29,0
102,161,-96,-40,0,31,0
85,164,-60,-51,3,16,0
81,156,-50,-33,-10,6,0
105,144,-14,-30,-8,20,0
105,158,-73,-16,4,14,0
113,145,-50,-13,-4,30,0
117,148,-20,-31,-12,45,0
108,150,-70,-13,5,37,0
76,161,-83,-30,-4,35,0
89,156,-43,-15,15,29,0
95,163,-25,-31,-2,7,0
106,169,-42,-40,-16,12,0
105,181,-73,-56,2,2,0
76,153,-70,-59,-12,20,0
65,168,-68,-53,-6,29,0
48,158,-39,-37,-5,44,0
42,141,-67,-38,9,25,0
66,154,-59,-50,16,3,0
68,161,-46,-30,-9,23,0
72,131,-43,-13,-7,15,0
49,155,-95,-19,3,15,0
80,154,-34,-12,22,42,0
73,145,-68,-22,-6,58,0
83,146,-70,-26,-20,29,0
68,161,-27,-33,6,16,0
85,155,-82,-54,2,-5,0
64,151,-47,-44,5,5,0
96,156,-88,-45,0,10,0
89,163,-38,-32,-4,34,0
85,166,-23,-30,5,36,0
93,170,-62,-10,16,27,0
90,161,-53,-18,-12,2,0
89,165,-95,-9,-14,-9,0
87,142,-60,-48,4,22,0
94,161,-69,-35,22,41,0
95,152,-98,-57,15,50,0
84,152,-89,-55,-5,13,0
81,165,-60,-51,-10,10,0
59,143,-122,-35,12,-2,0
62,145,-74,-42,2,4,0
36,152,-97,-25,0,31,0
31,147,-59,-16,-8,50,0
40,141,-114,-22,0,39,0
20,148,-66,-30,22,30,0
58,129,-82,-20,22,8,0
49,152,-59,-25,-5,-8,0
57,162,-26,-29,-3,14,0
57,152,-79,-59,0,38,0
44,149,-73,-50,14,40,0
61,164,-41,-36,17,31,0
60,158,-84,-37,-1,44,0
45,170,-53,-21,-10,31,0
87,159,-82,-22,14,33,0
66,155,-107,-20,9,15,0
85,141,-69,-25,8,-9,0
81,157,-62,-18,-7,18,0
90,151,-96,-22,10,18,0
79,144,-95,-44,9,22,0
98,142,-102,-31,-8,42,0
95,141,-111,-46,-5,41,0
105,144,-98,-39,9,9,0
94,157,-85,-61,6,10,0
102,138,-44,-40,-9,-3,0
96,154,-78,-43,-2,10,0
78,141,-86,-50,7,21,0
86,140,-40,-52,9,41,0
97,142,-75,-43,-16,44,0
75,124,-52,-38,-11,29,0
62,133,-55,-32,6,27,0
51,163,-58,-28,12,2,0
64,131,-80,-29,3,6,0
64,115,-28,-25,-16,9,0
50,129,-90,-24,11,9,0
44,136,-105,-24,17,27,0
58,153,-73,-21,-3,35,0
66,150,-84,-34,-14,57,0
70,152,-31,-26,-8,35,0
87,155,-79,-8,4,26,0
106,171,-57,-27,9,13,0
92,138,-68,-25,-8,13,0
100,171,-54,-34,-4,5,0
103,164,-44,-31,18,2,0
100,176,-69,-32,0,25,0
86,170,-100,-41,-18,36,0
67,152,-60,-37,-13,36,0
71,149,-57,-46,9,53,0
65,130,-77,-41,5,36,0
87,139,-56,-47,0,26,0
82,131,-47,-45,-5,-10,0
64,132,-87,-35,-3,0,0
45,137,-51,-22,14,18,0
58,124,-44,-37,-13,13,0
81,117,-64,-30,-3,31,0
64,132,-26,-32,19,21,0
72,121,-55,-35,20,43,0
59,145,-71,-23,1,29,0
60,136,-60,-38,1,30,0
74,158,-75,-44,10,19,0
66,171,-73,-35,13,14,0
85,157,-42,-30,0,15,0
73,147,-109,-56,-25,-3,0
77,145,-79,-50,20,17,0
89,146,-50,-46,0,9,0
81,165,-92,-39,6,24,0
76,150,-32,-46,-2,29,0
75,147,-80,-50,10,40,0
59,138,-45,-39,-11,45,0
75,155,-78,-48,-27,32,0
67,157,-65,-35,-3,38,0
82,151,-77,-33,6,39,0
74,159,-87,-33,20,10,0
78,155,-78,-31,3,23,0
98,167,-86,-26,-5,-2,0
